name,variant,split,mode,threshold,n_news,true_positive_pairs,pred_positive_pairs,pred_relevant_news,mean_true_labels_per_news,mean_pred_labels_per_news,factor_micro_f1,factor_micro_precision,factor_micro_recall,factor_macro_f1_supported,factor_macro_f1_all36,factor_macro_f1_head_ge25,factor_weighted_f1,sample_f1_empty_correct,sample_jaccard_empty_correct,exact_match,hamming_loss,any_relevant_f1,any_relevant_precision,any_relevant_recall,empty_specificity,sentiment_accuracy_all_true_pairs_missed_wrong,sentiment_macro_f1_all_true_pairs_missed_wrong,sentiment_accuracy_on_predicted_true_pairs,sentiment_macro_f1_on_predicted_true_pairs,sentiment_true_pair_coverage,sentiment_eval_true_pairs,sentiment_eval_predicted_true_pairs
balanced_recall_v2__threshold_0.15,balanced_recall_v2,full,threshold,0.15,1000,915,783,751,0.915,0.783,0.48881036513545345,0.5300127713920817,0.453551912568306,0.260526325976351,0.1664473749293354,0.3841449671667304,0.4684099935153847,0.4879,0.46625,0.404,0.02411111111111111,0.8089430894308943,0.7949400798934754,0.8234482758620689,0.44,0.25792349726775954,0.2887794734344356,0.5686746987951807,0.47935277489647093,0.453551912568306,915,415
balanced_recall_v2__threshold_0.20,balanced_recall_v2,full,threshold,0.2,1000,915,783,751,0.915,0.783,0.48881036513545345,0.5300127713920817,0.453551912568306,0.260526325976351,0.1664473749293354,0.3841449671667304,0.4684099935153847,0.4879,0.46625,0.404,0.02411111111111111,0.8089430894308943,0.7949400798934754,0.8234482758620689,0.44,0.25792349726775954,0.2887794734344356,0.5686746987951807,0.47935277489647093,0.453551912568306,915,415
balanced_recall_v2__threshold_0.25,balanced_recall_v2,full,threshold,0.25,1000,915,783,751,0.915,0.783,0.48881036513545345,0.5300127713920817,0.453551912568306,0.260526325976351,0.1664473749293354,0.3841449671667304,0.4684099935153847,0.4879,0.46625,0.404,0.02411111111111111,0.8089430894308943,0.7949400798934754,0.8234482758620689,0.44,0.25792349726775954,0.2887794734344356,0.5686746987951807,0.47935277489647093,0.453551912568306,915,415
balanced_recall_v2__threshold_0.30,balanced_recall_v2,full,threshold,0.3,1000,915,783,751,0.915,0.783,0.48881036513545345,0.5300127713920817,0.453551912568306,0.260526325976351,0.1664473749293354,0.3841449671667304,0.4684099935153847,0.4879,0.46625,0.404,0.02411111111111111,0.8089430894308943,0.7949400798934754,0.8234482758620689,0.44,0.25792349726775954,0.2887794734344356,0.5686746987951807,0.47935277489647093,0.453551912568306,915,415
balanced_recall_v2__default,balanced_recall_v2,full,default,,1000,915,504,483,0.915,0.504,0.43269908386187456,0.6091269841269841,0.3355191256830601,0.25915396467160745,0.16557058854019363,0.3472268454430095,0.41219435222825224,0.4784,0.45975,0.406,0.02236111111111111,0.695364238410596,0.8695652173913043,0.5793103448275863,0.7709090909090909,0.2502732240437158,0.26083536165798854,0.745928338762215,0.5347932188748515,0.3355191256830601,915,307
balanced_recall_v2__threshold_0.35,balanced_recall_v2,full,threshold,0.35,1000,915,411,400,0.915,0.411,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.2532437798045641,0.16179463709736044,0.344967206807403,0.4039538688934997,0.49200000000000005,0.4763333333333334,0.431,0.021,0.6506666666666666,0.915,0.5048275862068966,0.8763636363636363,0.23060109289617486,0.26363399751294136,0.7403508771929824,0.5551559158930223,0.3114754098360656,915,285
balanced_recall_v2__threshold_0.40,balanced_recall_v2,full,threshold,0.4,1000,915,411,400,0.915,0.411,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.2532437798045641,0.16179463709736044,0.344967206807403,0.4039538688934997,0.49200000000000005,0.4763333333333334,0.431,0.021,0.6506666666666666,0.915,0.5048275862068966,0.8763636363636363,0.23060109289617486,0.26363399751294136,0.7403508771929824,0.5551559158930223,0.3114754098360656,915,285
balanced_recall_v2__threshold_0.50,balanced_recall_v2,full,threshold,0.5,1000,915,411,400,0.915,0.411,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.2532437798045641,0.16179463709736044,0.344967206807403,0.4039538688934997,0.49200000000000005,0.4763333333333334,0.431,0.021,0.6506666666666666,0.915,0.5048275862068966,0.8763636363636363,0.23060109289617486,0.26363399751294136,0.7403508771929824,0.5551559158930223,0.3114754098360656,915,285
balanced_recall_v2__threshold_0.60,balanced_recall_v2,full,threshold,0.6,1000,915,411,400,0.915,0.411,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.2532437798045641,0.16179463709736044,0.344967206807403,0.4039538688934997,0.49200000000000005,0.4763333333333334,0.431,0.021,0.6506666666666666,0.915,0.5048275862068966,0.8763636363636363,0.23060109289617486,0.26363399751294136,0.7403508771929824,0.5551559158930223,0.3114754098360656,915,285
production_v1__threshold_0.15,production_v1,full,threshold,0.15,1000,915,526,498,0.915,0.526,0.28313671061762663,0.38783269961977185,0.22295081967213115,0.15982652955033114,0.10211139387937823,0.2612687301457123,0.28959382182818016,0.36706666666666665,0.35375,0.315,0.028694444444444446,0.678659035159444,0.8333333333333334,0.5724137931034483,0.6981818181818182,0.1453551912568306,0.1863045985925914,0.6519607843137255,0.523607341214222,0.22295081967213115,915,204
