factor_key,factor_name,support,predicted_positive,precision,recall,f1
crime_count,Количество преступлений,244,125,0.784,0.4016393442622951,0.5311653116531165
industrial_production_index,Индексы промышленного производства,206,248,0.5806451612903226,0.6990291262135923,0.6343612334801763
enterprises_count,Число предприятий и организаций,157,99,0.7575757575757576,0.47770700636942676,0.5859375
consumer_price_index,Индексы потребительских цен,66,102,0.5,0.7727272727272727,0.6071428571428571
mortality_rate,Коэффициент смертности на 1000 человек,44,5,0.0,0.0,0.0
life_expectancy,Ожидаемая продолжительность жизни,41,1,1.0,0.024390243902439025,0.047619047619047616
air_pollution,Выбросы загрязняющих веществ в атмосферный воздух,37,30,0.4,0.32432432432432434,0.3582089552238806
international_inflow,Число прибывших в страну,28,121,0.19008264462809918,0.8214285714285714,0.3087248322147651
housing_area_per_capita,Общая площадь жилья на одного жителя,20,1,0.0,0.0,0.0
per_capita_income,Среднедушевые денежные доходы населения,16,1,1.0,0.0625,0.11764705882352941
unemployment_rate,Уровень безработицы,14,8,0.125,0.07142857142857142,0.09090909090909091
hospitals,Число больничных организаций,8,7,0.5714285714285714,0.5,0.5333333333333333
wastewater_discharge,Сброс загрязненных сточных вод,6,5,0.2,0.16666666666666666,0.18181818181818182
real_income_index,Реальные денежные доходы населения,6,1,0.0,0.0,0.0
children_benefits,"Численность детей до 18 лет, на которых назначено пособие",4,1,1.0,0.25,0.4
primary_housing_price_index,Индексы цен на первичном рынке жилья,4,0,0.0,0.0,0.0
international_outflow,Число выбывших из страны,3,18,0.05555555555555555,0.3333333333333333,0.09523809523809523
qualified_doctors,Численность врачей высшей и первой квалификационных категорий,3,1,0.0,0.0,0.0
preschool_coverage,Охват детей до 6 лет дошкольным образованием,3,0,0.0,0.0,0.0
living_wage,Величина прожиточного минимума на душу населения,2,2,0.5,0.5,0.5
divorce_rate,Число зарегистрированных разводов на 1000 населения,1,1,1.0,1.0,1.0
population_size,Численность населения,1,0,0.0,0.0,0.0
outpatient_clinics,Число амбулаторно-поликлинических организаций,1,1,0.0,0.0,0.0
marriage_rate,Число зарегистрированных браков на 1000 населения,0,1,0.0,0.0,0.0
internal_arrivals,Число прибытий внутри региона,0,0,0.0,0.0,0.0
internal_departures,Число выбытий из региона,0,1,0.0,0.0,0.0
infant_mortality,Коэффициент младенческой смертности,0,0,0.0,0.0,0.0
male_population,Число мужчин,0,0,0.0,0.0,0.0
female_population,Число женщин,0,0,0.0,0.0,0.0
child_living_wage,Величина прожиточного минимума на ребенка,0,2,0.0,0.0,0.0
abortions,Число абортов,0,0,0.0,0.0,0.0
maternity_capital,"Численность лиц, получивших сертификат на материнский капитал",0,0,0.0,0.0,0.0
childcare_allowance,Ежемесячное пособие по уходу за первым ребенком,0,0,0.0,0.0,0.0
large_families_housing,"Многодетные семьи, улучшившие жилищные условия",0,0,0.0,0.0,0.0
secondary_housing_price_index,Индексы цен на вторичном рынке жилья,0,1,0.0,0.0,0.0
birth_rate_per_1000,Коэффициент рождаемости на 1000 человек,0,0,0.0,0.0,0.0
