name,variant,split,mode,threshold,n_news,true_positive_pairs,pred_positive_pairs,pred_relevant_news,mean_true_labels_per_news,mean_pred_labels_per_news,factor_micro_f1,factor_micro_precision,factor_micro_recall,factor_macro_f1_supported,factor_macro_f1_all36,factor_macro_f1_head_ge25,factor_weighted_f1,sample_f1_empty_correct,sample_jaccard_empty_correct,exact_match,hamming_loss,any_relevant_f1,any_relevant_precision,any_relevant_recall,empty_specificity,sentiment_accuracy_all_true_pairs_missed_wrong,sentiment_macro_f1_all_true_pairs_missed_wrong,sentiment_accuracy_on_predicted_true_pairs,sentiment_macro_f1_on_predicted_true_pairs,sentiment_true_pair_coverage,sentiment_eval_true_pairs,sentiment_eval_predicted_true_pairs
balanced_recall_v2__threshold_0.30,balanced_recall_v2,search,threshold,0.3,300,307,236,213,1.0233333333333334,0.7866666666666666,0.4861878453038674,0.559322033898305,0.42996742671009774,0.24686306757077944,0.15771807094799797,0.5982806320397561,0.45606829525966924,0.5118888888888888,0.4775,0.38,0.025833333333333333,0.8454545454545455,0.8732394366197183,0.8193832599118943,0.6301369863013698,0.2931596091205212,0.32979929913985345,0.6818181818181818,0.5512023359670216,0.42996742671009774,307,132
balanced_recall_v2__default,balanced_recall_v2,search,default,,300,307,162,146,1.0233333333333334,0.54,0.464818763326226,0.6728395061728395,0.3550488599348534,0.24433274351023296,0.15610147502042662,0.5514504784778976,0.43599345276843726,0.5118888888888888,0.4825,0.4,0.023240740740740742,0.7453083109919572,0.952054794520548,0.6123348017621145,0.9041095890410958,0.28664495114006516,0.31662100456621006,0.8073394495412844,0.6072188079211784,0.3550488599348534,307,109
few_shot_major_v3__threshold_0.30,few_shot_major_v3,search,threshold,0.3,300,307,269,267,1.0233333333333334,0.8966666666666666,0.4513888888888889,0.483271375464684,0.4234527687296417,0.24795375068425102,0.1584148962704937,0.5781800005027253,0.4390951490620547,0.42833333333333334,0.4,0.31666666666666665,0.02925925925925926,0.8502024291497976,0.7865168539325843,0.9251101321585903,0.2191780821917808,0.23452768729641693,0.2404724963280167,0.5538461538461539,0.4271214165951008,0.4234527687296417,307,130
primary_first_v2__threshold_0.30,primary_first_v2,search,threshold,0.3,300,307,230,222,1.0233333333333334,0.7666666666666667,0.4208566108007449,0.49130434782608695,0.36807817589576547,0.24951903568444922,0.15941493946506477,0.5222524565381709,0.3840478503533536,0.44133333333333336,0.4152777777777777,0.34,0.028796296296296296,0.8240534521158129,0.8333333333333334,0.8149779735682819,0.4931506849315068,0.23778501628664495,0.27822767908974805,0.6460176991150443,0.5347417840375587,0.36807817589576547,307,113
primary_first_v2__default,primary_first_v2,search,default,,300,307,136,131,1.0233333333333334,0.4533333333333333,0.3656884875846501,0.5955882352941176,0.26384364820846906,0.22990887286447406,0.1468862243300807,0.42208948837228627,0.3301899866915295,0.43166666666666664,0.4105555555555555,0.35,0.026018518518518517,0.6703910614525139,0.916030534351145,0.5286343612334802,0.8493150684931506,0.23452768729641693,0.3034802043422733,0.8888888888888888,0.7049350649350649,0.26384364820846906,307,81
few_shot_major_v3__default,few_shot_major_v3,search,default,,300,307,135,134,1.0233333333333334,0.45,0.35294117647058826,0.5777777777777777,0.254071661237785,0.22072135273327365,0.1410164198018137,0.3740813984716424,0.32149729029262647,0.40277777777777773,0.38166666666666665,0.32,0.02648148148148148,0.6481994459833795,0.8731343283582089,0.5154185022026432,0.7671232876712328,0.2280130293159609,0.21825027410579448,0.8974358974358975,0.581029810298103,0.254071661237785,307,78
hard_negative_v2__threshold_0.30,hard_negative_v2,search,threshold,0.3,300,307,76,72,1.0233333333333334,0.25333333333333335,0.2819843342036554,0.7105263157894737,0.1758957654723127,0.20164426884739498,0.1288282828747246,0.3448072383949646,0.26935424370852845,0.3872222222222222,0.37333333333333335,0.3333333333333333,0.02546296296296296,0.47491638795986624,0.9861111111111112,0.31277533039647576,0.9863013698630136,0.10749185667752444,0.14972906541533992,0.6111111111111112,0.516676195921479,0.1758957654723127,307,54
production_v1__threshold_0.30,production_v1,search,threshold,0.3,300,307,161,151,1.0233333333333334,0.5366666666666666,0.2777777777777778,0.40372670807453415,0.21172638436482086,0.18012304009838906,0.1150786089517486,0.2902581755593803,0.26908716277662464,0.35466666666666663,0.3347222222222222,0.27666666666666667,0.031296296296296294,0.7037037037037037,0.8807947019867549,0.5859030837004405,0.7534246575342466,0.13680781758957655,0.18234457764148315,0.6461538461538462,0.5372319688109162,0.21172638436482086,307,65
production_v1__default,production_v1,search,default,,300,307,99,96,1.0233333333333334,0.33,0.2315270935960591,0.47474747474747475,0.15309446254071662,0.16770664784158038,0.10714591389878746,0.21588564692012968,0.21968547134221625,0.34222222222222226,0.3272222222222222,0.2833333333333333,0.028888888888888888,0.5510835913312694,0.9270833333333334,0.3920704845814978,0.9041095890410958,0.13355048859934854,0.15567791097481645,0.8723404255319149,0.5845648604269295,0.15309446254071662,307,47
hard_negative_v2__default,hard_negative_v2,search,default,,300,307,48,44,1.0233333333333334,0.16,0.19154929577464788,0.7083333333333334,0.11074918566775244,0.1706959361025036,0.10905573695437729,0.1934377144282952,0.18211338055787196,0.3327777777777778,0.3233333333333333,0.2966666666666667,0.026574074074074073,0.3247232472324723,1.0,0.19383259911894274,1.0,0.10423452768729642,0.12503770739064857,0.9411764705882353,0.6370223978919631,0.11074918566775244,307,34
