factor_key,true_pairs,predicted_true_pairs,sentiment_accuracy_all_true_pairs,support,f1
crime_count,244,98,0.26229508196721313,244,0.5311653116531165
industrial_production_index,206,144,0.3786407766990291,206,0.6343612334801763
enterprises_count,157,75,0.25477707006369427,157,0.5859375
consumer_price_index,66,51,0.45454545454545453,66,0.6071428571428571
mortality_rate,44,0,0.0,44,0.0
life_expectancy,41,1,0.0,41,0.047619047619047616
air_pollution,37,12,0.10810810810810811,37,0.3582089552238806
international_inflow,28,23,0.35714285714285715,28,0.3087248322147651
housing_area_per_capita,20,0,0.0,20,0.0
per_capita_income,16,1,0.0625,16,0.11764705882352941
unemployment_rate,14,1,0.07142857142857142,14,0.09090909090909091
hospitals,8,4,0.5,8,0.5333333333333333
real_income_index,6,0,0.0,6,0.0
wastewater_discharge,6,1,0.16666666666666666,6,0.18181818181818182
children_benefits,4,1,0.25,4,0.4
primary_housing_price_index,4,0,0.0,4,0.0
international_outflow,3,1,0.0,3,0.09523809523809523
preschool_coverage,3,0,0.0,3,0.0
qualified_doctors,3,0,0.0,3,0.0
living_wage,2,1,0.5,2,0.5
divorce_rate,1,1,1.0,1,1.0
outpatient_clinics,1,0,0.0,1,0.0
population_size,1,0,0.0,1,0.0
