dataset_row_id,factor_key,true_sentiment,predicted_pair,pred_sentiment,sentiment_correct
1,air_pollution,negative,False,__missed_factor__,False
7,crime_count,negative,False,__missed_factor__,False
7,mortality_rate,negative,False,__missed_factor__,False
10,industrial_production_index,positive,True,positive,True
10,enterprises_count,positive,False,__missed_factor__,False
12,consumer_price_index,negative,True,negative,True
13,crime_count,negative,False,__missed_factor__,False
15,industrial_production_index,negative,False,__missed_factor__,False
15,enterprises_count,negative,True,neutral,False
16,life_expectancy,positive,False,__missed_factor__,False
16,mortality_rate,positive,False,__missed_factor__,False
17,per_capita_income,positive,False,__missed_factor__,False
21,hospitals,negative,False,__missed_factor__,False
21,qualified_doctors,negative,False,__missed_factor__,False
21,crime_count,negative,False,__missed_factor__,False
23,air_pollution,negative,False,__missed_factor__,False
24,wastewater_discharge,negative,False,__missed_factor__,False
25,international_inflow,positive,True,positive,True
26,crime_count,negative,True,neutral,False
30,consumer_price_index,negative,True,negative,True
30,crime_count,negative,False,__missed_factor__,False
30,mortality_rate,negative,False,__missed_factor__,False
31,crime_count,negative,False,__missed_factor__,False
32,crime_count,negative,True,neutral,False
33,industrial_production_index,negative,True,negative,True
34,industrial_production_index,positive,True,positive,True
36,industrial_production_index,positive,True,positive,True
39,crime_count,negative,False,__missed_factor__,False
39,air_pollution,negative,False,__missed_factor__,False
40,enterprises_count,negative,True,neutral,False
42,industrial_production_index,positive,True,positive,True
43,crime_count,negative,True,negative,True
44,industrial_production_index,positive,True,positive,True
46,industrial_production_index,positive,True,positive,True
47,enterprises_count,positive,False,__missed_factor__,False
50,real_income_index,positive,False,__missed_factor__,False
52,industrial_production_index,positive,True,neutral,False
53,international_inflow,positive,False,__missed_factor__,False
53,life_expectancy,positive,False,__missed_factor__,False
54,industrial_production_index,positive,True,neutral,False
55,industrial_production_index,positive,False,__missed_factor__,False
58,crime_count,negative,True,negative,True
59,enterprises_count,positive,False,__missed_factor__,False
60,consumer_price_index,negative,True,negative,True
61,crime_count,negative,False,__missed_factor__,False
63,crime_count,negative,False,__missed_factor__,False
