factor_key,source,threshold,support,predicted,precision,recall,f1
population_size,grouped_event,0.65,1,1,1.0,1.0,1.0
divorce_rate,baseline_balanced,0.05,1,0,0.0,0.0,0.0
marriage_rate,baseline_balanced,0.05,0,0,0.0,0.0,0.0
international_inflow,thinking_recall,0.35,12,7,0.8571428571428571,0.5,0.631578947368421
international_outflow,grouped_event,0.05,3,11,0.09090909090909091,0.3333333333333333,0.14285714285714285
internal_arrivals,baseline_balanced,0.05,0,0,0.0,0.0,0.0
internal_departures,baseline_balanced,0.05,0,0,0.0,0.0,0.0
infant_mortality,baseline_balanced,0.05,0,0,0.0,0.0,0.0
life_expectancy,thinking_recall,0.05,14,5,0.6,0.21428571428571427,0.3157894736842105
male_population,baseline_balanced,0.05,0,0,0.0,0.0,0.0
female_population,baseline_balanced,0.05,0,0,0.0,0.0,0.0
per_capita_income,grouped_event,0.35,10,7,0.2857142857142857,0.2,0.23529411764705882
real_income_index,baseline_balanced,0.05,5,0,0.0,0.0,0.0
unemployment_rate,grouped_event,0.05,8,9,0.2222222222222222,0.25,0.23529411764705882
living_wage,baseline_balanced,0.05,2,1,1.0,0.5,0.6666666666666666
child_living_wage,baseline_balanced,0.05,0,2,0.0,0.0,0.0
hospitals,grouped_event,0.65,4,2,1.0,0.5,0.6666666666666666
outpatient_clinics,baseline_balanced,0.05,1,1,0.0,0.0,0.0
abortions,baseline_balanced,0.05,0,0,0.0,0.0,0.0
qualified_doctors,baseline_balanced,0.05,2,1,0.0,0.0,0.0
preschool_coverage,grouped_event,0.05,3,2,1.0,0.6666666666666666,0.8
children_benefits,baseline_balanced,0.05,2,1,1.0,0.5,0.6666666666666666
maternity_capital,baseline_balanced,0.05,0,0,0.0,0.0,0.0
childcare_allowance,baseline_balanced,0.05,0,0,0.0,0.0,0.0
large_families_housing,baseline_balanced,0.05,0,0,0.0,0.0,0.0
housing_area_per_capita,grouped_event,0.05,9,16,0.4375,0.7777777777777778,0.56
consumer_price_index,baseline_balanced,0.05,22,20,0.65,0.5909090909090909,0.6190476190476191
primary_housing_price_index,grouped_event,0.35,2,1,1.0,0.5,0.6666666666666666
secondary_housing_price_index,baseline_balanced,0.05,0,1,0.0,0.0,0.0
industrial_production_index,baseline_balanced,0.05,64,73,0.6575342465753424,0.75,0.7007299270072993
enterprises_count,baseline_balanced,0.05,44,30,0.6666666666666666,0.45454545454545453,0.5405405405405406
crime_count,thinking_recall,0.05,70,63,0.746031746031746,0.6714285714285714,0.706766917293233
air_pollution,baseline_balanced,0.05,11,10,0.3,0.2727272727272727,0.2857142857142857
wastewater_discharge,baseline_balanced,0.35,4,1,1.0,0.25,0.4
mortality_rate,grouped_event,0.05,13,14,0.6428571428571429,0.6923076923076923,0.6666666666666666
birth_rate_per_1000,baseline_balanced,0.05,0,0,0.0,0.0,0.0
