factor_key,source,threshold,support_tune,precision_tune,recall_tune,f1_tune
population_size,baseline_balanced,0.05,0,0.0,0.0,0.0
divorce_rate,baseline_balanced,0.05,0,0.0,0.0,0.0
marriage_rate,baseline_balanced,0.05,0,0.0,0.0,0.0
international_inflow,thinking_recall,0.35,6,1.0,0.5,0.6666666666666666
international_outflow,baseline_balanced,0.05,0,0.0,0.0,0.0
internal_arrivals,baseline_balanced,0.05,0,0.0,0.0,0.0
internal_departures,baseline_balanced,0.05,0,0.0,0.0,0.0
infant_mortality,baseline_balanced,0.05,0,0.0,0.0,0.0
life_expectancy,thinking_recall,0.05,7,0.6666666666666666,0.2857142857142857,0.4
male_population,baseline_balanced,0.05,0,0.0,0.0,0.0
female_population,baseline_balanced,0.05,0,0.0,0.0,0.0
per_capita_income,baseline_balanced,0.05,8,1.0,0.125,0.2222222222222222
real_income_index,baseline_balanced,0.05,1,0.0,0.0,0.0
unemployment_rate,grouped_event,0.05,3,0.2,0.3333333333333333,0.25
living_wage,baseline_balanced,0.05,2,1.0,0.5,0.6666666666666666
child_living_wage,baseline_balanced,0.05,0,0.0,0.0,0.0
hospitals,baseline_balanced,0.05,2,0.6666666666666666,1.0,0.8
outpatient_clinics,baseline_balanced,0.05,1,0.0,0.0,0.0
abortions,baseline_balanced,0.05,0,0.0,0.0,0.0
qualified_doctors,baseline_balanced,0.05,1,0.0,0.0,0.0
preschool_coverage,baseline_balanced,0.05,0,0.0,0.0,0.0
children_benefits,baseline_balanced,0.05,0,0.0,0.0,0.0
maternity_capital,baseline_balanced,0.05,0,0.0,0.0,0.0
childcare_allowance,baseline_balanced,0.05,0,0.0,0.0,0.0
large_families_housing,baseline_balanced,0.05,0,0.0,0.0,0.0
housing_area_per_capita,grouped_event,0.05,5,0.4,0.8,0.5333333333333333
consumer_price_index,grouped_event,0.35,8,0.8333333333333334,0.625,0.7142857142857143
primary_housing_price_index,baseline_balanced,0.05,0,0.0,0.0,0.0
secondary_housing_price_index,baseline_balanced,0.05,0,0.0,0.0,0.0
industrial_production_index,baseline_balanced,0.05,30,0.6060606060606061,0.6666666666666666,0.6349206349206349
enterprises_count,baseline_balanced,0.05,22,0.6842105263157895,0.5909090909090909,0.6341463414634146
crime_count,thinking_recall,0.05,37,0.7575757575757576,0.6756756756756757,0.7142857142857143
air_pollution,baseline_balanced,0.65,6,1.0,0.16666666666666666,0.2857142857142857
wastewater_discharge,baseline_balanced,0.05,0,0.0,0.0,0.0
mortality_rate,grouped_event,0.05,6,0.75,0.5,0.6
birth_rate_per_1000,baseline_balanced,0.05,0,0.0,0.0,0.0
