factor_key,support,predicted_positive,precision,recall,f1,source
population_size,1,0,0.0,0.0,0.0,baseline_balanced@0.05
divorce_rate,1,0,0.0,0.0,0.0,baseline_balanced@0.05
marriage_rate,0,0,0.0,0.0,0.0,baseline_balanced@0.05
international_inflow,12,36,0.25,0.75,0.375,baseline_balanced@0.05
international_outflow,3,6,0.0,0.0,0.0,baseline_balanced@0.05
internal_arrivals,0,0,0.0,0.0,0.0,baseline_balanced@0.05
internal_departures,0,0,0.0,0.0,0.0,baseline_balanced@0.05
infant_mortality,0,0,0.0,0.0,0.0,baseline_balanced@0.05
life_expectancy,14,1,1.0,0.07142857142857142,0.13333333333333333,baseline_balanced@0.05
male_population,0,0,0.0,0.0,0.0,baseline_balanced@0.05
female_population,0,0,0.0,0.0,0.0,baseline_balanced@0.05
per_capita_income,10,1,1.0,0.1,0.18181818181818182,baseline_balanced@0.05
real_income_index,5,0,0.0,0.0,0.0,baseline_balanced@0.05
unemployment_rate,8,1,0.0,0.0,0.0,baseline_balanced@0.05
living_wage,2,1,1.0,0.5,0.6666666666666666,baseline_balanced@0.05
child_living_wage,0,2,0.0,0.0,0.0,baseline_balanced@0.05
hospitals,4,3,0.6666666666666666,0.5,0.5714285714285714,baseline_balanced@0.05
outpatient_clinics,1,1,0.0,0.0,0.0,baseline_balanced@0.05
abortions,0,0,0.0,0.0,0.0,baseline_balanced@0.05
qualified_doctors,2,1,0.0,0.0,0.0,baseline_balanced@0.05
preschool_coverage,3,0,0.0,0.0,0.0,baseline_balanced@0.05
children_benefits,2,1,1.0,0.5,0.6666666666666666,baseline_balanced@0.05
maternity_capital,0,0,0.0,0.0,0.0,baseline_balanced@0.05
childcare_allowance,0,0,0.0,0.0,0.0,baseline_balanced@0.05
large_families_housing,0,0,0.0,0.0,0.0,baseline_balanced@0.05
housing_area_per_capita,9,0,0.0,0.0,0.0,baseline_balanced@0.05
consumer_price_index,22,20,0.65,0.5909090909090909,0.6190476190476191,baseline_balanced@0.05
primary_housing_price_index,2,0,0.0,0.0,0.0,baseline_balanced@0.05
secondary_housing_price_index,0,1,0.0,0.0,0.0,baseline_balanced@0.05
industrial_production_index,64,73,0.6575342465753424,0.75,0.7007299270072993,baseline_balanced@0.05
enterprises_count,44,30,0.6666666666666666,0.45454545454545453,0.5405405405405406,baseline_balanced@0.05
crime_count,70,42,0.7380952380952381,0.44285714285714284,0.5535714285714286,baseline_balanced@0.05
air_pollution,11,10,0.3,0.2727272727272727,0.2857142857142857,baseline_balanced@0.05
wastewater_discharge,4,4,0.25,0.25,0.25,baseline_balanced@0.05
mortality_rate,13,2,0.5,0.07692307692307693,0.13333333333333333,baseline_balanced@0.05
birth_rate_per_1000,0,0,0.0,0.0,0.0,baseline_balanced@0.05
population_size,1,0,0.0,0.0,0.0,thinking_recall@0.05
divorce_rate,1,0,0.0,0.0,0.0,thinking_recall@0.05
marriage_rate,0,0,0.0,0.0,0.0,thinking_recall@0.05
international_inflow,12,51,0.1568627450980392,0.6666666666666666,0.25396825396825395,thinking_recall@0.05
international_outflow,3,2,0.0,0.0,0.0,thinking_recall@0.05
internal_arrivals,0,0,0.0,0.0,0.0,thinking_recall@0.05
internal_departures,0,0,0.0,0.0,0.0,thinking_recall@0.05
infant_mortality,0,0,0.0,0.0,0.0,thinking_recall@0.05
life_expectancy,14,5,0.6,0.21428571428571427,0.3157894736842105,thinking_recall@0.05
male_population,0,0,0.0,0.0,0.0,thinking_recall@0.05
female_population,0,0,0.0,0.0,0.0,thinking_recall@0.05
per_capita_income,10,0,0.0,0.0,0.0,thinking_recall@0.05
real_income_index,5,0,0.0,0.0,0.0,thinking_recall@0.05
unemployment_rate,8,2,0.0,0.0,0.0,thinking_recall@0.05
living_wage,2,0,0.0,0.0,0.0,thinking_recall@0.05
child_living_wage,0,0,0.0,0.0,0.0,thinking_recall@0.05
hospitals,4,11,0.09090909090909091,0.25,0.13333333333333333,thinking_recall@0.05
outpatient_clinics,1,0,0.0,0.0,0.0,thinking_recall@0.05
abortions,0,0,0.0,0.0,0.0,thinking_recall@0.05
qualified_doctors,2,1,0.0,0.0,0.0,thinking_recall@0.05
preschool_coverage,3,0,0.0,0.0,0.0,thinking_recall@0.05
children_benefits,2,1,0.0,0.0,0.0,thinking_recall@0.05
maternity_capital,0,0,0.0,0.0,0.0,thinking_recall@0.05
childcare_allowance,0,0,0.0,0.0,0.0,thinking_recall@0.05
large_families_housing,0,0,0.0,0.0,0.0,thinking_recall@0.05
housing_area_per_capita,9,0,0.0,0.0,0.0,thinking_recall@0.05
consumer_price_index,22,13,0.6923076923076923,0.4090909090909091,0.5142857142857142,thinking_recall@0.05
primary_housing_price_index,2,0,0.0,0.0,0.0,thinking_recall@0.05
secondary_housing_price_index,0,0,0.0,0.0,0.0,thinking_recall@0.05
industrial_production_index,64,68,0.6176470588235294,0.65625,0.6363636363636364,thinking_recall@0.05
enterprises_count,44,21,0.7619047619047619,0.36363636363636365,0.49230769230769234,thinking_recall@0.05
crime_count,70,63,0.746031746031746,0.6714285714285714,0.706766917293233,thinking_recall@0.05
air_pollution,11,7,0.2857142857142857,0.18181818181818182,0.2222222222222222,thinking_recall@0.05
wastewater_discharge,4,2,0.5,0.25,0.3333333333333333,thinking_recall@0.05
mortality_rate,13,6,0.8333333333333334,0.38461538461538464,0.5263157894736842,thinking_recall@0.05
birth_rate_per_1000,0,0,0.0,0.0,0.0,thinking_recall@0.05
population_size,1,3,0.3333333333333333,1.0,0.5,grouped_event@0.35
divorce_rate,1,0,0.0,0.0,0.0,grouped_event@0.35
marriage_rate,0,0,0.0,0.0,0.0,grouped_event@0.35
international_inflow,12,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,grouped_event@0.35
international_outflow,3,1,0.0,0.0,0.0,grouped_event@0.35
internal_arrivals,0,0,0.0,0.0,0.0,grouped_event@0.35
internal_departures,0,0,0.0,0.0,0.0,grouped_event@0.35
infant_mortality,0,1,0.0,0.0,0.0,grouped_event@0.35
life_expectancy,14,1,0.0,0.0,0.0,grouped_event@0.35
male_population,0,0,0.0,0.0,0.0,grouped_event@0.35
female_population,0,0,0.0,0.0,0.0,grouped_event@0.35
per_capita_income,10,7,0.2857142857142857,0.2,0.23529411764705882,grouped_event@0.35
real_income_index,5,1,0.0,0.0,0.0,grouped_event@0.35
unemployment_rate,8,0,0.0,0.0,0.0,grouped_event@0.35
living_wage,2,1,1.0,0.5,0.6666666666666666,grouped_event@0.35
child_living_wage,0,0,0.0,0.0,0.0,grouped_event@0.35
hospitals,4,21,0.19047619047619047,1.0,0.32,grouped_event@0.35
outpatient_clinics,1,0,0.0,0.0,0.0,grouped_event@0.35
abortions,0,0,0.0,0.0,0.0,grouped_event@0.35
qualified_doctors,2,2,0.0,0.0,0.0,grouped_event@0.35
preschool_coverage,3,1,1.0,0.3333333333333333,0.5,grouped_event@0.35
children_benefits,2,4,0.25,0.5,0.3333333333333333,grouped_event@0.35
maternity_capital,0,0,0.0,0.0,0.0,grouped_event@0.35
childcare_allowance,0,0,0.0,0.0,0.0,grouped_event@0.35
large_families_housing,0,1,0.0,0.0,0.0,grouped_event@0.35
housing_area_per_capita,9,7,0.2857142857142857,0.2222222222222222,0.25,grouped_event@0.35
consumer_price_index,22,19,0.5789473684210527,0.5,0.5365853658536586,grouped_event@0.35
primary_housing_price_index,2,1,1.0,0.5,0.6666666666666666,grouped_event@0.35
secondary_housing_price_index,0,0,0.0,0.0,0.0,grouped_event@0.35
industrial_production_index,64,23,0.6521739130434783,0.234375,0.3448275862068966,grouped_event@0.35
enterprises_count,44,10,0.7,0.1590909090909091,0.25925925925925924,grouped_event@0.35
crime_count,70,23,0.8260869565217391,0.2714285714285714,0.40860215053763443,grouped_event@0.35
air_pollution,11,9,0.0,0.0,0.0,grouped_event@0.35
wastewater_discharge,4,3,0.3333333333333333,0.25,0.2857142857142857,grouped_event@0.35
mortality_rate,13,14,0.6428571428571429,0.6923076923076923,0.6666666666666666,grouped_event@0.35
birth_rate_per_1000,0,0,0.0,0.0,0.0,grouped_event@0.35
