factor_key,support,predicted_positive,precision,recall,f1
crime_count,70,23,0.8260869565217391,0.2714285714285714,0.40860215053763443
industrial_production_index,64,23,0.6521739130434783,0.234375,0.3448275862068966
enterprises_count,44,10,0.7,0.1590909090909091,0.25925925925925924
consumer_price_index,22,19,0.5789473684210527,0.5,0.5365853658536586
life_expectancy,14,1,0.0,0.0,0.0
mortality_rate,13,14,0.6428571428571429,0.6923076923076923,0.6666666666666666
international_inflow,12,12,0.4166666666666667,0.4166666666666667,0.4166666666666667
air_pollution,11,9,0.0,0.0,0.0
per_capita_income,10,7,0.2857142857142857,0.2,0.23529411764705882
housing_area_per_capita,9,7,0.2857142857142857,0.2222222222222222,0.25
unemployment_rate,8,0,0.0,0.0,0.0
real_income_index,5,1,0.0,0.0,0.0
wastewater_discharge,4,3,0.3333333333333333,0.25,0.2857142857142857
hospitals,4,21,0.19047619047619047,1.0,0.32
international_outflow,3,1,0.0,0.0,0.0
preschool_coverage,3,1,1.0,0.3333333333333333,0.5
living_wage,2,1,1.0,0.5,0.6666666666666666
qualified_doctors,2,2,0.0,0.0,0.0
children_benefits,2,4,0.25,0.5,0.3333333333333333
primary_housing_price_index,2,1,1.0,0.5,0.6666666666666666
outpatient_clinics,1,0,0.0,0.0,0.0
divorce_rate,1,0,0.0,0.0,0.0
population_size,1,3,0.3333333333333333,1.0,0.5
secondary_housing_price_index,0,0,0.0,0.0,0.0
abortions,0,0,0.0,0.0,0.0
large_families_housing,0,1,0.0,0.0,0.0
childcare_allowance,0,0,0.0,0.0,0.0
maternity_capital,0,0,0.0,0.0,0.0
child_living_wage,0,0,0.0,0.0,0.0
female_population,0,0,0.0,0.0,0.0
male_population,0,0,0.0,0.0,0.0
infant_mortality,0,1,0.0,0.0,0.0
internal_departures,0,0,0.0,0.0,0.0
internal_arrivals,0,0,0.0,0.0,0.0
marriage_rate,0,0,0.0,0.0,0.0
birth_rate_per_1000,0,0,0.0,0.0,0.0
