factor_key,source,threshold,support,predicted,precision,recall,f1
population_size,grouped_event,0.65,1,1,1.0,1.0,1.0
divorce_rate,baseline_balanced,0.1,1,0,0.0,0.0,0.0
marriage_rate,baseline_balanced,0.1,0,0,0.0,0.0,0.0
international_inflow,thinking_recall_v1,0.35,12,7,0.8571428571428571,0.5,0.631578947368421
international_outflow,grouped_event,0.1,3,11,0.09090909090909091,0.3333333333333333,0.14285714285714285
internal_arrivals,baseline_balanced,0.1,0,0,0.0,0.0,0.0
internal_departures,baseline_balanced,0.1,0,0,0.0,0.0,0.0
infant_mortality,baseline_balanced,0.1,0,0,0.0,0.0,0.0
life_expectancy,latent_candidate_v3,0.35,14,13,0.46153846153846156,0.42857142857142855,0.4444444444444444
male_population,baseline_balanced,0.1,0,0,0.0,0.0,0.0
female_population,baseline_balanced,0.1,0,0,0.0,0.0,0.0
per_capita_income,latent_candidate_v3,0.1,10,8,0.75,0.6,0.6666666666666666
real_income_index,baseline_balanced,0.1,5,0,0.0,0.0,0.0
unemployment_rate,latent_candidate_v3,0.35,8,5,0.8,0.5,0.6153846153846154
living_wage,baseline_balanced,0.1,2,1,1.0,0.5,0.6666666666666666
child_living_wage,baseline_balanced,0.1,0,2,0.0,0.0,0.0
hospitals,latent_candidate_v3,0.9,4,5,0.6,0.75,0.6666666666666666
outpatient_clinics,latent_candidate_v3,0.1,1,2,0.5,1.0,0.6666666666666666
abortions,baseline_balanced,0.1,0,0,0.0,0.0,0.0
qualified_doctors,baseline_balanced,0.1,2,1,0.0,0.0,0.0
preschool_coverage,grouped_event,0.1,3,2,1.0,0.6666666666666666,0.8
children_benefits,latent_candidate_v3,0.1,2,3,0.6666666666666666,1.0,0.8
maternity_capital,baseline_balanced,0.1,0,0,0.0,0.0,0.0
childcare_allowance,baseline_balanced,0.1,0,0,0.0,0.0,0.0
large_families_housing,baseline_balanced,0.1,0,0,0.0,0.0,0.0
housing_area_per_capita,latent_candidate_v3,0.1,9,4,1.0,0.4444444444444444,0.6153846153846154
consumer_price_index,baseline_balanced,0.1,22,20,0.65,0.5909090909090909,0.6190476190476191
primary_housing_price_index,grouped_event,0.35,2,1,1.0,0.5,0.6666666666666666
secondary_housing_price_index,baseline_balanced,0.1,0,1,0.0,0.0,0.0
industrial_production_index,baseline_balanced,0.1,64,73,0.6575342465753424,0.75,0.7007299270072993
enterprises_count,latent_candidate_v3,0.1,44,43,0.5813953488372093,0.5681818181818182,0.5747126436781609
crime_count,thinking_recall_v1,0.1,70,63,0.746031746031746,0.6714285714285714,0.706766917293233
air_pollution,latent_candidate_v3,0.1,11,29,0.2413793103448276,0.6363636363636364,0.35
wastewater_discharge,latent_candidate_v3,0.35,4,8,0.5,1.0,0.6666666666666666
mortality_rate,latent_candidate_v3,0.65,13,10,1.0,0.7692307692307693,0.8695652173913043
birth_rate_per_1000,baseline_balanced,0.1,0,0,0.0,0.0,0.0
