factor_key,support,predicted,precision,recall,f1
crime_count,70,48,0.6875,0.4714285714285714,0.559322033898305
industrial_production_index,64,66,0.6212121212121212,0.640625,0.6307692307692307
enterprises_count,44,37,0.6216216216216216,0.5227272727272727,0.5679012345679012
consumer_price_index,22,56,0.35714285714285715,0.9090909090909091,0.5128205128205128
life_expectancy,14,13,0.46153846153846156,0.42857142857142855,0.4444444444444444
mortality_rate,13,22,0.5,0.8461538461538461,0.6285714285714286
international_inflow,12,57,0.19298245614035087,0.9166666666666666,0.3188405797101449
air_pollution,11,18,0.2777777777777778,0.45454545454545453,0.3448275862068966
per_capita_income,10,5,1.0,0.5,0.6666666666666666
housing_area_per_capita,9,3,1.0,0.3333333333333333,0.5
unemployment_rate,8,5,0.8,0.5,0.6153846153846154
real_income_index,5,1,0.0,0.0,0.0
wastewater_discharge,4,8,0.5,1.0,0.6666666666666666
hospitals,4,35,0.11428571428571428,1.0,0.20512820512820512
international_outflow,3,32,0.03125,0.3333333333333333,0.05714285714285714
preschool_coverage,3,0,0.0,0.0,0.0
living_wage,2,1,1.0,0.5,0.6666666666666666
children_benefits,2,1,1.0,0.5,0.6666666666666666
primary_housing_price_index,2,1,1.0,0.5,0.6666666666666666
qualified_doctors,2,4,0.0,0.0,0.0
population_size,1,1,1.0,1.0,1.0
outpatient_clinics,1,2,0.5,1.0,0.6666666666666666
divorce_rate,1,0,0.0,0.0,0.0
marriage_rate,0,0,0.0,0.0,0.0
internal_arrivals,0,3,0.0,0.0,0.0
internal_departures,0,4,0.0,0.0,0.0
infant_mortality,0,0,0.0,0.0,0.0
male_population,0,0,0.0,0.0,0.0
female_population,0,0,0.0,0.0,0.0
child_living_wage,0,1,0.0,0.0,0.0
abortions,0,0,0.0,0.0,0.0
maternity_capital,0,0,0.0,0.0,0.0
childcare_allowance,0,0,0.0,0.0,0.0
large_families_housing,0,0,0.0,0.0,0.0
secondary_housing_price_index,0,2,0.0,0.0,0.0
birth_rate_per_1000,0,0,0.0,0.0,0.0
