factor_key,manual_relevant_total,pred_relevant_total,sentiment_mae,relevant_count_mae
crime_count,201,715,0.7968493747776081,1.5310734463276836
industrial_production_index,176,426,0.4720513960493567,0.8587570621468926
enterprises_count,133,824,0.629496305960876,1.9745762711864407
consumer_price_index,54,481,0.3579785533408682,1.2175141242937852
air_pollution,28,665,0.40060282721907087,1.805084745762712
mortality_rate,28,288,0.31152420672569725,0.768361581920904
life_expectancy,26,652,0.3870777153544563,1.7909604519774012
international_inflow,25,455,0.3278932964532152,1.2259887005649717
housing_area_per_capita,15,985,0.8121958352619416,2.7401129943502824
per_capita_income,9,376,0.24130637653720938,1.0480225988700564
unemployment_rate,7,249,0.2304373599198216,0.6836158192090396
hospitals,5,631,0.44784445738918477,1.768361581920904
real_income_index,3,457,0.29192525383426354,1.2824858757062148
international_outflow,3,283,0.24088394095725693,0.7909604519774012
wastewater_discharge,3,335,0.2070366797449662,0.9378531073446328
living_wage,2,943,0.7535848778880305,2.65819209039548
children_benefits,2,613,0.31258254496881593,1.7259887005649717
primary_housing_price_index,2,441,0.27572551246908866,1.2401129943502824
preschool_coverage,2,403,0.2375193500774243,1.1327683615819208
population_size,1,717,0.36494482621598373,2.022598870056497
child_living_wage,0,914,0.6474226339337767,2.5819209039548023
divorce_rate,0,738,0.5951678691184942,2.0847457627118646
marriage_rate,0,757,0.5153838762441666,2.138418079096045
childcare_allowance,0,827,0.4733774714537572,2.3361581920903953
internal_arrivals,0,726,0.43313853812307085,2.0508474576271185
large_families_housing,0,825,0.40749542575332476,2.330508474576271
male_population,0,828,0.40587595697283374,2.3389830508474576
female_population,0,782,0.3653313329905447,2.209039548022599
abortions,0,568,0.3324530170160014,1.6045197740112995
maternity_capital,0,614,0.33118950525225693,1.734463276836158
internal_departures,0,660,0.327329533374674,1.8644067796610169
birth_rate_per_1000,0,364,0.2401092133882337,1.0282485875706215
secondary_housing_price_index,0,304,0.23322091020514188,0.8587570621468926
infant_mortality,0,214,0.1672535509054945,0.6045197740112994
qualified_doctors,0,190,0.1426631837630141,0.536723163841808
outpatient_clinics,0,149,0.12454462856325313,0.4209039548022599
