factor_key,manual_relevant_total,pred_relevant_total,sentiment_mae,relevant_count_mae
crime_count,201,35,0.38078375826251176,0.5042492917847026
industrial_production_index,176,76,0.3444287063267233,0.44192634560906513
enterprises_count,133,28,0.23725212464589235,0.32577903682719545
consumer_price_index,54,45,0.1364494806421152,0.13314447592067988
air_pollution,28,2,0.0708215297450425,0.07365439093484419
mortality_rate,28,3,0.0679886685552408,0.0764872521246459
life_expectancy,26,2,0.060906515580736544,0.07365439093484419
international_inflow,25,72,0.1333805476864967,0.18980169971671387
housing_area_per_capita,15,1,0.03824362606232295,0.039660056657223795
per_capita_income,9,2,0.024079320113314446,0.031161473087818695
unemployment_rate,7,6,0.025495750708215296,0.031161473087818695
hospitals,5,8,0.0113314447592068,0.014164305949008499
international_outflow,3,19,0.03541076487252125,0.06232294617563739
real_income_index,3,3,0.012747875354107648,0.0169971671388102
wastewater_discharge,3,1,0.0056657223796034,0.0056657223796034
living_wage,2,1,0.007082152974504249,0.0084985835694051
preschool_coverage,2,0,0.0056657223796034,0.0056657223796034
primary_housing_price_index,2,0,0.0056657223796034,0.0056657223796034
children_benefits,2,2,0.00424929178470255,0.0056657223796034
population_size,1,0,0.0028328611898017,0.0028328611898017
internal_departures,0,5,0.0084985835694051,0.014164305949008499
qualified_doctors,0,3,0.00424929178470255,0.0084985835694051
child_living_wage,0,2,0.0028328611898017,0.0056657223796034
infant_mortality,0,1,0.0028328611898017,0.0028328611898017
childcare_allowance,0,1,0.00141643059490085,0.0028328611898017
secondary_housing_price_index,0,1,0.00141643059490085,0.0028328611898017
abortions,0,0,0.0,0.0
birth_rate_per_1000,0,0,0.0,0.0
divorce_rate,0,0,0.0,0.0
female_population,0,0,0.0,0.0
internal_arrivals,0,0,0.0,0.0
large_families_housing,0,0,0.0,0.0
male_population,0,0,0.0,0.0
marriage_rate,0,0,0.0,0.0
maternity_capital,0,0,0.0,0.0
outpatient_clinics,0,0,0.0,0.0
