,precision,recall,f1-score,support
not_relevant,0.6142857142857143,0.6254545454545455,0.6198198198198198,275.0
population_size,0.0,0.0,0.0,1.0
divorce_rate,0.0,0.0,0.0,0.0
marriage_rate,0.0,0.0,0.0,0.0
international_inflow,0.5925925925925926,0.64,0.6153846153846154,25.0
international_outflow,0.0,0.0,0.0,3.0
internal_arrivals,0.0,0.0,0.0,0.0
internal_departures,0.0,0.0,0.0,0.0
infant_mortality,0.0,0.0,0.0,0.0
life_expectancy,0.6666666666666666,0.46153846153846156,0.5454545454545454,26.0
male_population,0.0,0.0,0.0,0.0
female_population,0.0,0.0,0.0,0.0
per_capita_income,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
real_income_index,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
unemployment_rate,0.0,0.0,0.0,7.0
living_wage,0.0,0.0,0.0,2.0
child_living_wage,0.0,0.0,0.0,0.0
hospitals,0.0,0.0,0.0,5.0
outpatient_clinics,0.0,0.0,0.0,0.0
abortions,0.0,0.0,0.0,0.0
qualified_doctors,0.0,0.0,0.0,0.0
preschool_coverage,0.0,0.0,0.0,2.0
children_benefits,0.0,0.0,0.0,2.0
maternity_capital,0.0,0.0,0.0,0.0
childcare_allowance,0.0,0.0,0.0,0.0
large_families_housing,0.0,0.0,0.0,0.0
housing_area_per_capita,0.2857142857142857,0.13333333333333333,0.18181818181818182,15.0
consumer_price_index,0.7142857142857143,0.7407407407407407,0.7272727272727273,54.0
primary_housing_price_index,0.0,0.0,0.0,2.0
secondary_housing_price_index,0.0,0.0,0.0,0.0
industrial_production_index,0.6666666666666666,0.6363636363636364,0.6511627906976745,176.0
enterprises_count,0.6114649681528662,0.7218045112781954,0.6620689655172414,133.0
crime_count,0.6547085201793722,0.7263681592039801,0.6886792452830188,201.0
air_pollution,0.6190476190476191,0.4642857142857143,0.5306122448979592,28.0
wastewater_discharge,0.0,0.0,0.0,3.0
mortality_rate,0.4,0.5,0.4444444444444444,28.0
birth_rate_per_1000,0.0,0.0,0.0,0.0
accuracy,0.627,0.627,0.627,0.627
macro avg,0.19348016434931975,0.17672372948885126,0.18018155623216833,1000.0
weighted avg,0.6107217824209142,0.627,0.615402823196942,1000.0
