threshold,factor_micro_precision,factor_micro_recall,factor_micro_f1,factor_macro_f1,applicability_precision,applicability_recall,applicability_f1,predicted_relevant_pairs
0.05,0.027344131929733076,0.9169398907103825,0.05310462687511868,0.04717419090563294,0.725,1.0,0.8405797101449275,30683
0.1,0.03003802281368821,0.8633879781420765,0.05805621899687672,0.0513636551749623,0.725,1.0,0.8405797101449275,26300
0.15,0.032076949860724235,0.805464480874317,0.061696873299568876,0.053866650744554066,0.725,1.0,0.8405797101449275,22976
0.2,0.03426638560713761,0.7639344262295082,0.06559069156423009,0.056712626507994766,0.725,1.0,0.8405797101449275,20399
0.25,0.036353681905283326,0.7256830601092896,0.06923879040667362,0.059062362887616224,0.725,1.0,0.8405797101449275,18265
0.3,0.03829813061422675,0.6896174863387978,0.07256626990972342,0.06093659730623572,0.725,1.0,0.8405797101449275,16476
0.35,0.04046708274612442,0.659016393442623,0.07625189681335356,0.06308820347113914,0.725,1.0,0.8405797101449275,14901
0.4,0.04268610098906819,0.6273224043715847,0.0799331569419301,0.06558429774406514,0.725,1.0,0.8405797101449275,13447
0.45,0.04457652303120357,0.5901639344262295,0.08289201013124568,0.06771968064572513,0.725,1.0,0.8405797101449275,12114
0.5,0.045202952029520294,0.5355191256830601,0.08336877924287538,0.06824463188654975,0.725,1.0,0.8405797101449275,10840
0.55,0.046451479412373264,0.4907103825136612,0.08486910499952746,0.06948318729884288,0.725,1.0,0.8405797101449275,9666
0.6,0.048703573931324455,0.4557377049180328,0.0880025324469769,0.07099206080630138,0.725,1.0,0.8405797101449275,8562
0.65,0.04994686503719448,0.41092896174863386,0.08906786687196494,0.07087287344120391,0.725,1.0,0.8405797101449275,7528
0.7,0.05225362872421696,0.3737704918032787,0.09168900804289544,0.07286981446466564,0.7257257257257257,1.0,0.8410672853828306,6545
0.75,0.056793673616103525,0.3453551912568306,0.09754591757987344,0.07714949943970704,0.7259036144578314,0.9972413793103448,0.8402091807088902,5564
0.8,0.06005221932114883,0.3016393442622951,0.10016330974414807,0.08266404122507069,0.7261663286004056,0.9875862068965517,0.836937463471654,4596
0.85,0.06662933930571109,0.26010928961748636,0.1060842433697348,0.07771873578414377,0.7275574112734864,0.9613793103448276,0.8282828282828283,3572
0.9,0.07338709677419354,0.1989071038251366,0.10721649484536082,0.07550280864403397,0.7303370786516854,0.896551724137931,0.804953560371517,2480
0.95,0.07787903893951947,0.10273224043715846,0.0885956644674835,0.04050696172616737,0.7530674846625767,0.6772413793103448,0.7131445170660857,1207
