name,pairs,mean_labels,precision,recall,f1,macro_supported,sample_f1,any_f1,false_relevant,missed_all
max_score_0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.8089330024813896,13,64
max_score_0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.8089330024813896,13,64
union_b0.35_t0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.8089330024813896,13,64
union_b0.6_t0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.8089330024813896,13,64
union_b0.35_t0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.8089330024813896,13,64
union_b0.6_t0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.5628888888888889,0.8089330024813896,13,64
union_b0.3_t0.35,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8831168831168831,31,23
union_b0.3_t0.6,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.5524444444444444,0.8831168831168831,31,23
union_b0.6_t0.3,286,0.9533333333333334,0.541958041958042,0.504885993485342,0.5227655986509275,0.26300526990560014,0.5178888888888888,0.8744769874476988,42,18
union_b0.35_t0.3,286,0.9533333333333334,0.541958041958042,0.504885993485342,0.5227655986509275,0.26300526990560014,0.5178888888888888,0.8744769874476988,42,18
max_score_0.3,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.5024444444444444,0.8853118712273642,50,7
max_score_0.1,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.5024444444444444,0.8853118712273642,50,7
union_b0.3_t0.3,337,1.1233333333333333,0.49258160237388726,0.5407166123778502,0.515527950310559,0.25850310195584203,0.5024444444444444,0.8853118712273642,50,7
intersection_b0.3_t0.3,152,0.5066666666666667,0.6578947368421053,0.3257328990228013,0.4357298474945534,0.1483249971652829,0.48333333333333334,0.7146666666666667,14,93
intersection_b0.3_t0.6,112,0.37333333333333335,0.7678571428571429,0.28013029315960913,0.4105011933174224,0.15105042016806722,0.47,0.6190476190476191,5,123
intersection_b0.3_t0.35,112,0.37333333333333335,0.7678571428571429,0.28013029315960913,0.4105011933174224,0.15105042016806722,0.47,0.6190476190476191,5,123
intersection_b0.6_t0.3,92,0.30666666666666664,0.8152173913043478,0.24429967426710097,0.37593984962406013,0.12958691626830962,0.4522222222222223,0.555205047318612,2,139
intersection_b0.35_t0.3,92,0.30666666666666664,0.8152173913043478,0.24429967426710097,0.37593984962406013,0.12958691626830962,0.4522222222222223,0.555205047318612,2,139
intersection_b0.6_t0.35,85,0.2833333333333333,0.8352941176470589,0.23127035830618892,0.3622448979591837,0.12856479836724857,0.44,0.5225806451612903,2,146
intersection_b0.35_t0.35,85,0.2833333333333333,0.8352941176470589,0.23127035830618892,0.3622448979591837,0.12856479836724857,0.44,0.5225806451612903,2,146
intersection_b0.6_t0.6,85,0.2833333333333333,0.8352941176470589,0.23127035830618892,0.3622448979591837,0.12856479836724857,0.44,0.5225806451612903,2,146
intersection_b0.35_t0.6,85,0.2833333333333333,0.8352941176470589,0.23127035830618892,0.3622448979591837,0.12856479836724857,0.44,0.5225806451612903,2,146
