variant,mode,threshold,n_news,true_positive_pairs,pred_positive_pairs,mean_pred_labels_per_news,factor_micro_f1,factor_micro_precision,factor_micro_recall,factor_macro_f1_supported,sample_f1_empty_correct,any_relevant_f1,any_relevant_precision,any_relevant_recall
latent_candidate_v3_think_true,threshold,0.45,300,307,426,1.42,0.48021828103683495,0.4131455399061033,0.5732899022801303,0.45152837950628444,0.418,0.8560157790927022,0.775,0.9559471365638766
latent_candidate_v3_think_true,threshold,0.5,300,307,426,1.42,0.48021828103683495,0.4131455399061033,0.5732899022801303,0.45152837950628444,0.418,0.8560157790927022,0.775,0.9559471365638766
latent_candidate_v3_think_true,threshold,0.55,300,307,426,1.42,0.48021828103683495,0.4131455399061033,0.5732899022801303,0.45152837950628444,0.418,0.8560157790927022,0.775,0.9559471365638766
latent_candidate_v3_think_true,threshold,0.6,300,307,426,1.42,0.48021828103683495,0.4131455399061033,0.5732899022801303,0.45152837950628444,0.418,0.8560157790927022,0.775,0.9559471365638766
latent_candidate_v3_think_true,threshold,0.35,300,307,432,1.44,0.476319350473613,0.4074074074074074,0.5732899022801303,0.4320507556808345,0.4151111111111111,0.8560157790927022,0.775,0.9559471365638766
latent_candidate_v3_think_true,threshold,0.4,300,307,432,1.44,0.476319350473613,0.4074074074074074,0.5732899022801303,0.4320507556808345,0.4151111111111111,0.8560157790927022,0.775,0.9559471365638766
latent_candidate_v3_think_true,threshold,0.15,300,307,559,1.8633333333333333,0.44341801385681295,0.3434704830053667,0.6254071661237784,0.41252424408818056,0.37311111111111106,0.8614800759013282,0.7566666666666667,1.0
latent_candidate_v3_think_true,threshold,0.2,300,307,559,1.8633333333333333,0.44341801385681295,0.3434704830053667,0.6254071661237784,0.41252424408818056,0.37311111111111106,0.8614800759013282,0.7566666666666667,1.0
latent_candidate_v3_think_true,threshold,0.25,300,307,559,1.8633333333333333,0.44341801385681295,0.3434704830053667,0.6254071661237784,0.41252424408818056,0.37311111111111106,0.8614800759013282,0.7566666666666667,1.0
latent_candidate_v3_think_true,threshold,0.3,300,307,559,1.8633333333333333,0.44341801385681295,0.3434704830053667,0.6254071661237784,0.41252424408818056,0.37311111111111106,0.8614800759013282,0.7566666666666667,1.0
latent_candidate_v3_think_true,threshold,0.1,300,307,560,1.8666666666666667,0.4429065743944637,0.34285714285714286,0.6254071661237784,0.4123500231192688,0.37311111111111106,0.8614800759013282,0.7566666666666667,1.0
latent_candidate_v3_think_true,default,,300,307,404,1.3466666666666667,0.4360056258790436,0.38366336633663367,0.504885993485342,0.4066870174513727,0.40788888888888886,0.7855530474040632,0.8055555555555556,0.7665198237885462
latent_candidate_v3_think_true,threshold,0.65,300,307,48,0.16,0.2140845070422535,0.7916666666666666,0.1237785016286645,0.2293266627887862,0.3353333333333333,0.29850746268656714,0.975609756097561,0.1762114537444934
latent_candidate_v3_think_true,threshold,0.7,300,307,48,0.16,0.2140845070422535,0.7916666666666666,0.1237785016286645,0.2293266627887862,0.3353333333333333,0.29850746268656714,0.975609756097561,0.1762114537444934
latent_candidate_v3_think_true,threshold,0.75,300,307,48,0.16,0.2140845070422535,0.7916666666666666,0.1237785016286645,0.2293266627887862,0.3353333333333333,0.29850746268656714,0.975609756097561,0.1762114537444934
latent_candidate_v3_think_true,threshold,0.8,300,307,47,0.15666666666666668,0.20903954802259886,0.7872340425531915,0.12052117263843648,0.2283470599975892,0.3343333333333333,0.29850746268656714,0.975609756097561,0.1762114537444934
latent_candidate_v3_think_true,threshold,0.9,300,307,42,0.14,0.19484240687679083,0.8095238095238095,0.11074918566775244,0.15664409437428184,0.3322222222222222,0.29850746268656714,0.975609756097561,0.1762114537444934
latent_candidate_v3_think_true,threshold,0.85,300,307,43,0.14333333333333334,0.19428571428571428,0.7906976744186046,0.11074918566775244,0.15374554364964416,0.33166666666666667,0.29850746268656714,0.975609756097561,0.1762114537444934
latent_candidate_v3_think_true,threshold,0.95,300,307,5,0.016666666666666666,0.02564102564102564,0.8,0.013029315960912053,0.0463768115942029,0.2522222222222222,0.04310344827586207,1.0,0.022026431718061675
