factor_key,b_pred,b_tp,b_fp,b_fn,b_precision,b_recall,b_f1,t_support,t_pred,t_tp,t_fp,t_fn,t_precision,t_recall,t_f1,delta_support,delta_pred,delta_tp,delta_fp,delta_fn,delta_precision,delta_recall,delta_f1
mortality_rate,2,1,1,12,0.5,0.07692307692307693,0.13333333333333333,13,6,5,1,8,0.8333333333333334,0.38461538461538464,0.5263157894736842,0,4,4,0,-4,0.33333333333333337,0.3076923076923077,0.3929824561403509
crime_count,42,31,11,39,0.7380952380952381,0.44285714285714284,0.5535714285714286,70,63,47,16,23,0.746031746031746,0.6714285714285714,0.706766917293233,0,21,16,5,-16,0.007936507936507908,0.22857142857142854,0.15319548872180444
life_expectancy,1,1,0,13,1.0,0.07142857142857142,0.13333333333333333,14,5,3,2,11,0.6,0.21428571428571427,0.3157894736842105,0,4,2,2,-2,-0.4,0.14285714285714285,0.18245614035087718
outpatient_clinics,1,0,1,1,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0,-1,0,-1,0,0.0,0.0,0.0
wastewater_discharge,4,1,3,3,0.25,0.25,0.25,4,2,1,1,3,0.5,0.25,0.3333333333333333,0,-2,0,-2,0,0.25,0.0,0.08333333333333331
primary_housing_price_index,0,0,0,2,0.0,0.0,0.0,2,0,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
housing_area_per_capita,0,0,0,9,0.0,0.0,0.0,9,0,0,0,9,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
preschool_coverage,0,0,0,3,0.0,0.0,0.0,3,0,0,0,3,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
divorce_rate,0,0,0,1,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
population_size,0,0,0,1,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
unemployment_rate,1,0,1,8,0.0,0.0,0.0,8,2,0,2,8,0.0,0.0,0.0,0,1,0,1,0,0.0,0.0,0.0
real_income_index,0,0,0,5,0.0,0.0,0.0,5,0,0,0,5,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
international_outflow,6,0,6,3,0.0,0.0,0.0,3,2,0,2,3,0.0,0.0,0.0,0,-4,0,-4,0,0.0,0.0,0.0
qualified_doctors,1,0,1,2,0.0,0.0,0.0,2,1,0,1,2,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
international_inflow,36,9,27,3,0.25,0.75,0.375,12,51,8,43,4,0.1568627450980392,0.6666666666666666,0.25396825396825395,0,15,-1,16,1,-0.09313725490196079,-0.08333333333333337,-0.12103174603174605
enterprises_count,30,20,10,24,0.6666666666666666,0.45454545454545453,0.5405405405405406,44,21,16,5,28,0.7619047619047619,0.36363636363636365,0.49230769230769234,0,-9,-4,-5,4,0.09523809523809523,-0.09090909090909088,-0.048232848232848236
air_pollution,10,3,7,8,0.3,0.2727272727272727,0.2857142857142857,11,7,2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222,0,-3,-1,-2,1,-0.01428571428571429,-0.09090909090909088,-0.06349206349206349
industrial_production_index,73,48,25,16,0.6575342465753424,0.75,0.7007299270072993,64,68,42,26,22,0.6176470588235294,0.65625,0.6363636363636364,0,-5,-6,1,6,-0.03988718775181299,-0.09375,-0.06436629064366295
per_capita_income,1,1,0,9,1.0,0.1,0.18181818181818182,10,0,0,0,10,0.0,0.0,0.0,0,-1,-1,0,1,-1.0,-0.1,-0.18181818181818182
consumer_price_index,20,13,7,9,0.65,0.5909090909090909,0.6190476190476191,22,13,9,4,13,0.6923076923076923,0.4090909090909091,0.5142857142857142,0,-7,-4,-3,4,0.04230769230769227,-0.18181818181818182,-0.10476190476190483
hospitals,3,2,1,2,0.6666666666666666,0.5,0.5714285714285714,4,11,1,10,3,0.09090909090909091,0.25,0.13333333333333333,0,8,-1,9,1,-0.5757575757575757,-0.25,-0.4380952380952381
living_wage,1,1,0,1,1.0,0.5,0.6666666666666666,2,0,0,0,2,0.0,0.0,0.0,0,-1,-1,0,1,-1.0,-0.5,-0.6666666666666666
children_benefits,1,1,0,1,1.0,0.5,0.6666666666666666,2,1,0,1,2,0.0,0.0,0.0,0,0,-1,1,1,-1.0,-0.5,-0.6666666666666666
