factor_key,support,predicted,precision,recall,f1,tp,fp,fn
industrial_production_index,130,87,0.8620689655172413,0.5769230769230769,0.6912442396313364,75,12,55
enterprises_count,100,38,0.868421052631579,0.33,0.4782608695652174,33,5,67
crime_count,73,58,0.7758620689655172,0.6164383561643836,0.6870229007633588,45,13,28
consumer_price_index,64,48,0.6875,0.515625,0.5892857142857143,33,15,31
life_expectancy,51,14,0.7857142857142857,0.21568627450980393,0.3384615384615385,11,3,40
real_income_index,47,2,0.5,0.02127659574468085,0.04081632653061224,1,1,46
per_capita_income,40,9,0.7777777777777778,0.175,0.2857142857142857,7,2,33
mortality_rate,26,20,0.65,0.5,0.5652173913043478,13,7,13
hospitals,20,34,0.4117647058823529,0.7,0.5185185185185185,14,20,6
air_pollution,17,24,0.20833333333333334,0.29411764705882354,0.24390243902439024,5,19,12
wastewater_discharge,16,9,0.7777777777777778,0.4375,0.56,7,2,9
housing_area_per_capita,16,8,0.625,0.3125,0.4166666666666667,5,3,11
international_inflow,10,59,0.15254237288135594,0.9,0.2608695652173913,9,50,1
internal_departures,6,4,0.25,0.16666666666666666,0.2,1,3,5
unemployment_rate,6,5,0.0,0.0,0.0,0,5,6
qualified_doctors,5,5,0.6,0.6,0.6,3,2,2
population_size,5,3,0.3333333333333333,0.2,0.25,1,2,4
living_wage,4,1,0.0,0.0,0.0,0,1,4
preschool_coverage,3,1,1.0,0.3333333333333333,0.5,1,0,2
internal_arrivals,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
birth_rate_per_1000,3,0,0.0,0.0,0.0,0,0,3
children_benefits,2,4,0.25,0.5,0.3333333333333333,1,3,1
international_outflow,2,24,0.0,0.0,0.0,0,24,2
male_population,2,0,0.0,0.0,0.0,0,0,2
primary_housing_price_index,1,1,1.0,1.0,1.0,1,0,0
divorce_rate,1,0,0.0,0.0,0.0,0,0,1
marriage_rate,1,0,0.0,0.0,0.0,0,0,1
infant_mortality,1,1,0.0,0.0,0.0,0,1,1
outpatient_clinics,1,2,0.0,0.0,0.0,0,2,1
female_population,0,0,0.0,0.0,0.0,0,0,0
child_living_wage,0,3,0.0,0.0,0.0,0,3,0
abortions,0,0,0.0,0.0,0.0,0,0,0
maternity_capital,0,0,0.0,0.0,0.0,0,0,0
childcare_allowance,0,0,0.0,0.0,0.0,0,0,0
large_families_housing,0,1,0.0,0.0,0.0,0,1,0
secondary_housing_price_index,0,0,0.0,0.0,0.0,0,0,0
