factor_key,support,predicted,precision,recall,f1
population_size,5,3,0.3333333333333333,0.2,0.25
divorce_rate,1,0,0.0,0.0,0.0
marriage_rate,1,0,0.0,0.0,0.0
international_inflow,10,59,0.15254237288135594,0.9,0.2608695652173913
international_outflow,2,24,0.0,0.0,0.0
internal_arrivals,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
internal_departures,6,9,0.2222222222222222,0.3333333333333333,0.26666666666666666
infant_mortality,1,1,0.0,0.0,0.0
life_expectancy,51,72,0.5555555555555556,0.7843137254901961,0.6504065040650406
male_population,2,0,0.0,0.0,0.0
female_population,0,0,0.0,0.0,0.0
per_capita_income,40,68,0.39705882352941174,0.675,0.5
real_income_index,47,67,0.5671641791044776,0.8085106382978723,0.6666666666666666
unemployment_rate,6,8,0.125,0.16666666666666666,0.14285714285714285
living_wage,4,9,0.2222222222222222,0.5,0.3076923076923077
child_living_wage,0,3,0.0,0.0,0.0
hospitals,20,39,0.4358974358974359,0.85,0.576271186440678
outpatient_clinics,1,5,0.2,1.0,0.3333333333333333
abortions,0,0,0.0,0.0,0.0
qualified_doctors,5,11,0.36363636363636365,0.8,0.5
preschool_coverage,3,1,1.0,0.3333333333333333,0.5
children_benefits,2,4,0.25,0.5,0.3333333333333333
maternity_capital,0,0,0.0,0.0,0.0
childcare_allowance,0,0,0.0,0.0,0.0
large_families_housing,0,1,0.0,0.0,0.0
housing_area_per_capita,16,17,0.5882352941176471,0.625,0.6060606060606061
consumer_price_index,64,77,0.5584415584415584,0.671875,0.6099290780141844
primary_housing_price_index,1,1,1.0,1.0,1.0
secondary_housing_price_index,0,0,0.0,0.0,0.0
industrial_production_index,130,163,0.7116564417177914,0.8923076923076924,0.7918088737201365
enterprises_count,100,103,0.7184466019417476,0.74,0.729064039408867
crime_count,73,78,0.7051282051282052,0.7534246575342466,0.7284768211920529
air_pollution,17,42,0.2857142857142857,0.7058823529411765,0.4067796610169492
wastewater_discharge,16,21,0.5238095238095238,0.6875,0.5945945945945946
mortality_rate,26,41,0.5121951219512195,0.8076923076923077,0.6268656716417911
birth_rate_per_1000,3,0,0.0,0.0,0.0
