n_rules,split,precision,recall,micro_f1,pred_pairs
0,tune,0.5752212389380531,0.39274924471299094,0.466786355475763,226
0,holdout,0.5661157024793388,0.42153846153846153,0.48324514991181655,242
0,all,0.5705128205128205,0.4070121951219512,0.4750889679715303,468
1,tune,0.5813953488372093,0.45317220543806647,0.5093378607809848,258
1,holdout,0.5576208178438662,0.46153846153846156,0.5050505050505051,269
1,all,0.5692599620493358,0.4573170731707317,0.5071851225697379,527
2,tune,0.5888501742160279,0.5105740181268882,0.5469255663430421,287
2,holdout,0.5629370629370629,0.49538461538461537,0.5270049099836334,286
2,all,0.5759162303664922,0.5030487804878049,0.5370219690805533,573
3,tune,0.5876623376623377,0.5468277945619335,0.5665101721439749,308
3,holdout,0.554140127388535,0.5353846153846153,0.5446009389671361,314
3,all,0.5707395498392283,0.5411585365853658,0.5555555555555556,622
5,tune,0.595166163141994,0.595166163141994,0.595166163141994,331
5,holdout,0.5459940652818991,0.5661538461538461,0.5558912386706949,337
5,all,0.5703592814371258,0.5807926829268293,0.5755287009063444,668
8,tune,0.5901639344262295,0.6525679758308157,0.6197991391678622,366
8,holdout,0.525,0.5815384615384616,0.5518248175182482,360
8,all,0.5578512396694215,0.6173780487804879,0.5861070911722142,726
10,tune,0.587467362924282,0.6797583081570997,0.6302521008403361,383
10,holdout,0.5132275132275133,0.5969230769230769,0.5519203413940256,378
10,all,0.5505913272010512,0.6387195121951219,0.5913902611150318,761
15,tune,0.5959595959595959,0.7129909365558912,0.6492434662998624,396
15,holdout,0.49622166246851385,0.6061538461538462,0.5457063711911357,397
15,all,0.5460277427490542,0.6600609756097561,0.5976535541752933,793
20,tune,0.5947242206235012,0.7492447129909365,0.6631016042780749,417
20,holdout,0.49271844660194175,0.6246153846153846,0.5508819538670285,412
20,all,0.5440289505428226,0.6875,0.6074074074074074,829
25,tune,0.5976470588235294,0.7673716012084593,0.671957671957672,425
25,holdout,0.48364485981308414,0.6369230769230769,0.549800796812749,428
25,all,0.5404454865181711,0.7027439024390244,0.6110006626905236,853
35,tune,0.6068965517241379,0.797583081570997,0.6892950391644909,435
35,holdout,0.46756152125279643,0.6430769230769231,0.5414507772020726,447
35,all,0.536281179138322,0.7210365853658537,0.6150845253576073,882
