factor_key,support,best_source,best_threshold,factor_precision,factor_recall,factor_f1,predicted
population_size,5,grouped_event_think_true,0.7,1.0,0.2,0.3333333333333333,1
divorce_rate,1,search_primary_first_v2,0.05,1.0,1.0,1.0,1
marriage_rate,1,grouped_event_think_true,0.05,0.3333333333333333,1.0,0.5,3
international_inflow,10,recall_max_think_true,0.35,0.8,0.4,0.5333333333333333,5
international_outflow,2,search_production_v1,0.05,0.0,0.0,0.0,8
internal_arrivals,3,latent_candidate_v3_think_true,0.35,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
internal_departures,6,search_primary_first_v2,0.05,1.0,0.16666666666666666,0.2857142857142857,1
infant_mortality,1,search_production_v1,0.05,1.0,1.0,1.0,1
life_expectancy,51,latent_candidate_v3_think_true,0.05,0.85,0.3333333333333333,0.4788732394366197,20
male_population,2,search_production_v1,0.05,0.0,0.0,0.0,0
female_population,0,search_production_v1,0.05,0.0,0.0,0.0,0
per_capita_income,40,grouped_event_think_true,0.05,0.45454545454545453,0.25,0.3225806451612903,22
real_income_index,47,latent_candidate_v3_think_true,0.05,1.0,0.02127659574468085,0.041666666666666664,1
unemployment_rate,6,grouped_event_think_true,0.05,0.16666666666666666,0.16666666666666666,0.16666666666666666,6
living_wage,4,latent_candidate_v3_think_true,0.35,0.3333333333333333,0.25,0.2857142857142857,3
child_living_wage,0,search_production_v1,0.05,0.0,0.0,0.0,2
hospitals,20,grouped_event_think_true,0.35,0.55,0.55,0.55,20
outpatient_clinics,1,search_production_v1,0.05,0.0,0.0,0.0,0
abortions,0,search_production_v1,0.05,0.0,0.0,0.0,0
qualified_doctors,5,latent_candidate_v3_think_true,0.35,0.75,0.6,0.6666666666666666,4
preschool_coverage,3,grouped_event_think_true,0.05,1.0,0.6666666666666666,0.8,2
children_benefits,2,latent_candidate_v3_think_true,0.05,0.6666666666666666,1.0,0.8,3
maternity_capital,0,search_production_v1,0.05,0.0,0.0,0.0,0
childcare_allowance,0,search_production_v1,0.05,0.0,0.0,0.0,0
large_families_housing,0,search_production_v1,0.05,0.0,0.0,0.0,0
housing_area_per_capita,16,grouped_event_think_true,0.05,0.5714285714285714,0.5,0.5333333333333333,14
consumer_price_index,64,latent_candidate_v3_think_true,0.05,0.6557377049180327,0.625,0.64,61
primary_housing_price_index,1,grouped_event_think_true,0.35,1.0,1.0,1.0,1
secondary_housing_price_index,0,search_production_v1,0.05,0.0,0.0,0.0,0
industrial_production_index,130,search_primary_first_v2,0.05,0.855072463768116,0.45384615384615384,0.592964824120603,69
enterprises_count,100,latent_candidate_v3_think_true,0.05,0.8125,0.26,0.3939393939393939,32
crime_count,73,recall_max_think_true,0.05,0.8125,0.5342465753424658,0.6446280991735537,48
air_pollution,17,search_few_shot_major_v3,0.35,0.42857142857142855,0.35294117647058826,0.3870967741935484,14
wastewater_discharge,16,latent_candidate_v3_think_true,0.05,0.8888888888888888,0.5,0.64,9
mortality_rate,26,latent_candidate_v3_think_true,0.05,0.75,0.46153846153846156,0.5714285714285714,16
birth_rate_per_1000,3,search_production_v1,0.05,0.0,0.0,0.0,0
