factor_key,chosen_source,chosen_threshold,tune_f1,tune_recall,tune_precision
population_size,grouped_event_think_true,0.7,0.5,0.3333333333333333,1.0
divorce_rate,search_production_v1,0.05,0.0,0.0,0.0
marriage_rate,search_production_v1,0.05,0.0,0.0,0.0
international_inflow,recall_max_think_true,0.35,0.6666666666666666,0.5,1.0
international_outflow,search_production_v1,0.05,0.0,0.0,0.0
internal_arrivals,latent_candidate_v3_think_true,0.35,0.5,1.0,0.3333333333333333
internal_departures,search_primary_first_v2,0.05,0.5,0.3333333333333333,1.0
infant_mortality,search_production_v1,0.05,0.0,0.0,0.0
life_expectancy,latent_candidate_v3_think_true,0.05,0.4375,0.30434782608695654,0.7777777777777778
male_population,search_production_v1,0.05,0.0,0.0,0.0
female_population,search_production_v1,0.05,0.0,0.0,0.0
per_capita_income,latent_candidate_v3_think_true,0.05,0.17391304347826086,0.09523809523809523,1.0
real_income_index,latent_candidate_v3_think_true,0.05,0.07142857142857142,0.037037037037037035,1.0
unemployment_rate,search_production_v1,0.05,0.0,0.0,0.0
living_wage,search_production_v1,0.05,0.0,0.0,0.0
child_living_wage,search_production_v1,0.05,0.0,0.0,0.0
hospitals,recall_max_think_false,0.05,0.5714285714285714,0.4,1.0
outpatient_clinics,search_production_v1,0.05,0.0,0.0,0.0
abortions,search_production_v1,0.05,0.0,0.0,0.0
qualified_doctors,latent_candidate_v3_think_true,0.7,0.6666666666666666,0.5,1.0
preschool_coverage,search_production_v1,0.05,0.0,0.0,0.0
children_benefits,search_production_v1,0.05,0.0,0.0,0.0
maternity_capital,search_production_v1,0.05,0.0,0.0,0.0
childcare_allowance,search_production_v1,0.05,0.0,0.0,0.0
large_families_housing,search_production_v1,0.05,0.0,0.0,0.0
housing_area_per_capita,grouped_event_think_true,0.05,0.6666666666666666,0.625,0.7142857142857143
consumer_price_index,latent_candidate_v3_think_true,0.05,0.6944444444444444,0.6410256410256411,0.7575757575757576
primary_housing_price_index,grouped_event_think_true,0.35,1.0,1.0,1.0
secondary_housing_price_index,search_production_v1,0.05,0.0,0.0,0.0
industrial_production_index,search_primary_first_v2,0.05,0.6226415094339622,0.4852941176470588,0.868421052631579
enterprises_count,latent_candidate_v3_think_true,0.05,0.3728813559322034,0.2391304347826087,0.8461538461538461
crime_count,recall_max_think_true,0.05,0.5714285714285714,0.45714285714285713,0.7619047619047619
air_pollution,search_few_shot_major_v3,0.35,0.375,0.375,0.375
wastewater_discharge,latent_candidate_v3_think_true,0.05,0.46153846153846156,0.3333333333333333,0.75
mortality_rate,latent_candidate_v3_think_true,0.05,0.42105263157894735,0.2857142857142857,0.8
birth_rate_per_1000,search_production_v1,0.05,0.0,0.0,0.0
