scope,config,n_news,gold_pairs,pred_pairs,mean_pred_labels,precision,recall,micro_f1,macro_f1_supported,sample_f1,any_precision,any_recall,any_f1,false_relevant,missed_all
all,old_union+social_signal_think,237,656,542,2.2869198312236287,0.577490774907749,0.4771341463414634,0.5225375626043406,0.35946236540009946,0.4869794996377274,0.9578059071729957,1.0,0.978448275862069,10,0
all,old_union+social_signal,237,656,532,2.2447257383966246,0.575187969924812,0.46646341463414637,0.5151515151515151,0.35623351360069544,0.48747633051430517,0.9578059071729957,1.0,0.978448275862069,10,0
all,latent45+social_think,237,656,444,1.8734177215189873,0.6306306306306306,0.4268292682926829,0.509090909090909,0.32273737490248877,0.47186177629215603,0.9578059071729957,1.0,0.978448275862069,10,0
all,all_sources_max035_with_social_think,237,656,480,2.0253164556962027,0.5854166666666667,0.42835365853658536,0.49471830985915494,0.3837666739875576,0.4459507674697548,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8
all,best_old_union,237,656,468,1.9746835443037976,0.5705128205128205,0.4070121951219512,0.4750889679715303,0.30664300421896706,0.44388337869350525,0.9613733905579399,0.986784140969163,0.9739130434782609,9,3
all,latent_v3@0.30,237,656,429,1.8101265822784811,0.5384615384615384,0.3521341463414634,0.4258064516129032,0.26952160666479924,0.37868589450867923,0.9578059071729957,1.0,0.978448275862069,10,0
all,social_signal_v3_think@0.05,237,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
all,latent_v3@0.45,237,656,327,1.379746835443038,0.6146788990825688,0.30640243902439024,0.40895218718209564,0.2554739974240338,0.36576920500971133,0.958904109589041,0.9251101321585903,0.9417040358744395,9,17
all,social_signal_v3@0.05,237,656,265,1.1181434599156117,0.6981132075471698,0.2820121951219512,0.4017372421281216,0.18703064557165094,0.40182841068917013,0.9563318777292577,0.9647577092511013,0.9605263157894737,10,8
context,latent45+social_think,237,259,444,1.8734177215189873,0.20945945945945946,0.3590733590733591,0.26458036984352773,0.2030016071708436,0.18470631571897395,0.6118143459915611,1.0,0.7591623036649214,92,0
context,old_union+social_signal_think,237,259,542,2.2869198312236287,0.1881918819188192,0.3938223938223938,0.2546816479400749,0.24610151369559746,0.18310622804293689,0.6118143459915611,1.0,0.7591623036649214,92,0
context,social_signal_v3_think@0.05,237,259,278,1.1729957805907174,0.2446043165467626,0.2625482625482625,0.2532588454376164,0.17572591393310333,0.18503114325899137,0.614406779661017,1.0,0.7611548556430446,91,0
context,old_union+social_signal,237,259,532,2.2447257383966246,0.18233082706766918,0.3745173745173745,0.24525916561314792,0.24214366279896296,0.1820446782472099,0.6118143459915611,1.0,0.7591623036649214,92,0
context,all_sources_max035_with_social_think,237,259,480,2.0253164556962027,0.17916666666666667,0.33204633204633205,0.2327469553450609,0.23385596198858863,0.18806905705639881,0.6271929824561403,0.9862068965517241,0.7667560321715817,85,2
context,social_signal_v3@0.05,237,259,265,1.1181434599156117,0.22264150943396227,0.2277992277992278,0.22519083969465647,0.14961638101988978,0.1765923246935905,0.6026200873362445,0.9517241379310345,0.7379679144385026,91,7
context,best_old_union,237,259,468,1.9746835443037976,0.16880341880341881,0.305019305019305,0.2173314993122421,0.22026728206424653,0.16570953659561255,0.6180257510729614,0.993103448275862,0.7619047619047619,89,1
context,latent_v3@0.30,237,259,429,1.8101265822784811,0.16083916083916083,0.26640926640926643,0.2005813953488372,0.16379801247236764,0.13655816757082578,0.6118143459915611,1.0,0.7591623036649214,92,0
context,latent_v3@0.45,237,259,327,1.379746835443038,0.17737003058103976,0.22393822393822393,0.19795221843003413,0.16052768636039388,0.17215189873417722,0.6255707762557078,0.9448275862068966,0.7527472527472527,82,8
direct,all_sources_max035_with_social_think,237,243,480,2.0253164556962027,0.325,0.6419753086419753,0.4315352697095436,0.28375763934726017,0.3520293349407273,0.6359649122807017,0.9863945578231292,0.7733333333333333,83,2
direct,best_old_union,237,243,468,1.9746835443037976,0.32051282051282054,0.6172839506172839,0.4219409282700422,0.28188498450262667,0.34293751255776567,0.630901287553648,1.0,0.7736842105263158,86,0
direct,latent45+social_think,237,243,444,1.8734177215189873,0.32207207207207206,0.588477366255144,0.4163027656477438,0.2785533579739022,0.31842475386779184,0.620253164556962,1.0,0.765625,90,0
direct,old_union+social_signal,237,243,532,2.2447257383966246,0.3026315789473684,0.6625514403292181,0.4154838709677419,0.2817623463052555,0.33472975688165557,0.620253164556962,1.0,0.765625,90,0
direct,old_union+social_signal_think,237,243,542,2.2869198312236287,0.29704797047970477,0.6625514403292181,0.4101910828025478,0.26915847633599627,0.331514968856741,0.620253164556962,1.0,0.765625,90,0
direct,latent_v3@0.45,237,243,327,1.379746835443038,0.3516819571865443,0.4732510288065844,0.40350877192982454,0.2942133528691578,0.3167570825798674,0.639269406392694,0.9523809523809523,0.7650273224043715,79,7
direct,social_signal_v3@0.05,237,243,265,1.1181434599156117,0.3660377358490566,0.3991769547325103,0.38188976377952755,0.23948385560770158,0.290436005625879,0.6157205240174672,0.9591836734693877,0.75,88,6
direct,social_signal_v3_think@0.05,237,243,278,1.1729957805907174,0.35251798561151076,0.40329218106995884,0.3761996161228407,0.2305332721351028,0.28199718706047816,0.6186440677966102,0.9931972789115646,0.762402088772846,90,1
direct,latent_v3@0.30,237,243,429,1.8101265822784811,0.2913752913752914,0.51440329218107,0.37202380952380953,0.28493500606171823,0.2672091621458709,0.620253164556962,1.0,0.765625,90,0
direct_context,old_union+social_signal_think,237,502,542,2.2869198312236287,0.48523985239852396,0.5239043824701195,0.5038314176245211,0.3632534172613224,0.44257554447427866,0.8354430379746836,1.0,0.9103448275862069,39,0
direct_context,old_union+social_signal,237,502,532,2.2447257383966246,0.4849624060150376,0.5139442231075697,0.4990328820116054,0.3645884977353441,0.4437631285732551,0.8354430379746836,1.0,0.9103448275862069,39,0
direct_context,latent45+social_think,237,502,444,1.8734177215189873,0.5315315315315315,0.4701195219123506,0.4989429175475687,0.3187300203024894,0.4285982184716362,0.8354430379746836,1.0,0.9103448275862069,39,0
direct_context,all_sources_max035_with_social_think,237,502,480,2.0253164556962027,0.5041666666666667,0.4820717131474104,0.49287169042769857,0.361208872370903,0.4325737787763104,0.8508771929824561,0.9797979797979798,0.9107981220657277,34,4
direct_context,best_old_union,237,502,468,1.9746835443037976,0.4893162393162393,0.45617529880478086,0.47216494845360824,0.3440786517550771,0.4210809115872407,0.8454935622317596,0.9949494949494949,0.91415313225058,36,1
direct_context,social_signal_v3_think@0.05,237,502,278,1.1729957805907174,0.5971223021582733,0.33067729083665337,0.4256410256410256,0.2500020908582551,0.3783705043198714,0.8347457627118644,0.9949494949494949,0.9078341013824884,39,1
direct_context,latent_v3@0.45,237,502,327,1.379746835443038,0.5290519877675841,0.34462151394422313,0.41737032569360677,0.2796268766201021,0.3651463398298841,0.8538812785388128,0.9444444444444444,0.8968824940047961,32,11
direct_context,latent_v3@0.30,237,502,429,1.8101265822784811,0.4522144522144522,0.38645418326693226,0.4167561761546724,0.2858831382656203,0.3427097984060009,0.8354430379746836,1.0,0.9103448275862069,39,0
direct_context,social_signal_v3@0.05,237,502,265,1.1181434599156117,0.5886792452830188,0.3107569721115538,0.4067796610169492,0.22347208458508822,0.370182841068917,0.8296943231441049,0.9595959595959596,0.8899297423887588,39,8
weak,latent45+social_think,237,154,444,1.8734177215189873,0.0990990990990991,0.2857142857142857,0.14715719063545152,0.20493224632014226,0.0987743620655013,0.4641350210970464,1.0,0.6340057636887608,127,0
weak,old_union+social_signal_think,237,154,542,2.2869198312236287,0.09225092250922509,0.3246753246753247,0.14367816091954022,0.18955376856402398,0.09867389993972273,0.4641350210970464,1.0,0.6340057636887608,127,0
weak,old_union+social_signal,237,154,532,2.2447257383966246,0.09022556390977443,0.3116883116883117,0.13994169096209913,0.18125918598664761,0.09897528631705846,0.4641350210970464,1.0,0.6340057636887608,127,0
weak,social_signal_v3@0.05,237,154,265,1.1181434599156117,0.10943396226415095,0.18831168831168832,0.13842482100238662,0.0808020683020683,0.09859353023909986,0.4585152838427948,0.9545454545454546,0.6194690265486725,124,5
weak,social_signal_v3_think@0.05,237,154,278,1.1729957805907174,0.10431654676258993,0.18831168831168832,0.13425925925925927,0.11460121909688592,0.08649789029535863,0.4661016949152542,1.0,0.6358381502890174,126,0
weak,latent_v3@0.30,237,154,429,1.8101265822784811,0.08624708624708624,0.24025974025974026,0.1269296740994854,0.15414955414955414,0.07962628089210368,0.4641350210970464,1.0,0.6340057636887608,127,0
weak,all_sources_max035_with_social_think,237,154,480,2.0253164556962027,0.08125,0.2532467532467532,0.12302839116719243,0.2257589109569842,0.10294354028531243,0.4649122807017544,0.9636363636363636,0.6272189349112426,122,4
weak,best_old_union,237,154,468,1.9746835443037976,0.0811965811965812,0.24675324675324675,0.12218649517684887,0.14083429657540894,0.08939119951778178,0.463519313304721,0.9818181818181818,0.6297376093294461,125,2
weak,latent_v3@0.45,237,154,327,1.379746835443038,0.0856269113149847,0.18181818181818182,0.11642411642411643,0.15401471682988108,0.10815752461322081,0.4611872146118721,0.9181818181818182,0.6139817629179332,118,9
