config,factor_key,support,predicted,precision,recall,f1,tp,fp,fn
social_signal_v3@0.05,population_size,5,1,0.0,0.0,0.0,0,1,5
social_signal_v3@0.05,divorce_rate,1,1,1.0,1.0,1.0,1,0,0
social_signal_v3@0.05,marriage_rate,1,0,0.0,0.0,0.0,0,0,1
social_signal_v3@0.05,international_inflow,10,29,0.3103448275862069,0.9,0.46153846153846156,9,20,1
social_signal_v3@0.05,international_outflow,2,15,0.0,0.0,0.0,0,15,2
social_signal_v3@0.05,internal_arrivals,3,0,0.0,0.0,0.0,0,0,3
social_signal_v3@0.05,internal_departures,6,0,0.0,0.0,0.0,0,0,6
social_signal_v3@0.05,infant_mortality,1,0,0.0,0.0,0.0,0,0,1
social_signal_v3@0.05,life_expectancy,51,2,0.5,0.0196078431372549,0.03773584905660377,1,1,50
social_signal_v3@0.05,male_population,2,1,0.0,0.0,0.0,0,1,2
social_signal_v3@0.05,female_population,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3@0.05,per_capita_income,40,1,1.0,0.025,0.04878048780487805,1,0,39
social_signal_v3@0.05,real_income_index,47,2,1.0,0.0425531914893617,0.08163265306122448,2,0,45
social_signal_v3@0.05,unemployment_rate,6,0,0.0,0.0,0.0,0,0,6
social_signal_v3@0.05,living_wage,4,0,0.0,0.0,0.0,0,0,4
social_signal_v3@0.05,child_living_wage,0,1,0.0,0.0,0.0,0,1,0
social_signal_v3@0.05,hospitals,20,3,0.6666666666666666,0.1,0.17391304347826086,2,1,18
social_signal_v3@0.05,outpatient_clinics,1,0,0.0,0.0,0.0,0,0,1
social_signal_v3@0.05,abortions,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3@0.05,qualified_doctors,5,2,0.5,0.2,0.2857142857142857,1,1,4
social_signal_v3@0.05,preschool_coverage,3,0,0.0,0.0,0.0,0,0,3
social_signal_v3@0.05,children_benefits,2,0,0.0,0.0,0.0,0,0,2
social_signal_v3@0.05,maternity_capital,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3@0.05,childcare_allowance,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3@0.05,large_families_housing,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3@0.05,housing_area_per_capita,16,9,0.6666666666666666,0.375,0.48,6,3,10
social_signal_v3@0.05,consumer_price_index,64,26,0.6923076923076923,0.28125,0.4,18,8,46
social_signal_v3@0.05,primary_housing_price_index,1,0,0.0,0.0,0.0,0,0,1
social_signal_v3@0.05,secondary_housing_price_index,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3@0.05,industrial_production_index,130,104,0.8461538461538461,0.676923076923077,0.7521367521367521,88,16,42
social_signal_v3@0.05,enterprises_count,100,7,0.8571428571428571,0.06,0.11214953271028037,6,1,94
social_signal_v3@0.05,crime_count,73,41,0.8780487804878049,0.4931506849315068,0.631578947368421,36,5,37
social_signal_v3@0.05,air_pollution,17,7,0.42857142857142855,0.17647058823529413,0.25,3,4,14
social_signal_v3@0.05,wastewater_discharge,16,2,1.0,0.125,0.2222222222222222,2,0,14
social_signal_v3@0.05,mortality_rate,26,11,0.8181818181818182,0.34615384615384615,0.4864864864864865,9,2,17
social_signal_v3@0.05,birth_rate_per_1000,3,0,0.0,0.0,0.0,0,0,3
social_signal_v3_think@0.05,population_size,5,0,0.0,0.0,0.0,0,0,5
social_signal_v3_think@0.05,divorce_rate,1,1,1.0,1.0,1.0,1,0,0
social_signal_v3_think@0.05,marriage_rate,1,0,0.0,0.0,0.0,0,0,1
social_signal_v3_think@0.05,international_inflow,10,32,0.3125,1.0,0.47619047619047616,10,22,0
social_signal_v3_think@0.05,international_outflow,2,11,0.0,0.0,0.0,0,11,2
social_signal_v3_think@0.05,internal_arrivals,3,0,0.0,0.0,0.0,0,0,3
