config,gold_pairs,pred_pairs,mean_pred_labels,precision,recall,micro_f1,macro_f1_all36,macro_f1_supported,sample_f1,any_precision,any_recall,any_f1,false_relevant,missed_all,mode,q_threshold,g_threshold
grid_or_q0.60_g0.55,656,621,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.33994061198561465,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.6,0.55
grid_or_q0.60_g0.60,656,621,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.33994061198561465,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.6,0.6
grid_or_q0.55_g0.55,656,621,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.33994061198561465,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.55,0.55
grid_or_q0.55_g0.60,656,621,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.33994061198561465,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.55,0.6
grid_or_q0.40_g0.60,656,625,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.33921550413431306,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.4,0.6
grid_or_q0.35_g0.55,656,625,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.33921550413431306,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.35,0.55
grid_or_q0.40_g0.55,656,625,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.33921550413431306,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.4,0.55
grid_or_q0.35_g0.60,656,625,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.33921550413431306,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.35,0.6
grid_or_q0.50_g0.55,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.5,0.55
grid_or_q0.45_g0.60,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.45,0.6
grid_or_q0.50_g0.60,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.5,0.6
grid_or_q0.45_g0.55,656,622,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.3397556118006145,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.45,0.55
grid_or_q0.55_g0.45,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.55,0.45
grid_or_q0.55_g0.40,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.55,0.4
grid_or_q0.60_g0.35,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.6,0.35
grid_or_q0.55_g0.35,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.55,0.35
grid_or_q0.55_g0.50,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.55,0.5
grid_or_q0.60_g0.40,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.6,0.4
grid_or_q0.60_g0.45,656,623,2.628691983122363,0.6308186195826645,0.5990853658536586,0.6145426114151681,0.33938224899150066,0.4213021021963457,0.5526086665327172,0.9684684684684685,0.947136563876652,0.9576837416481069,7,12,or,0.6,0.45
