config,factor_key,support,predicted,precision,recall,f1
qwen060_or_gemma060,industrial_production_index,130,101,0.8415841584158416,0.6538461538461539,0.7359307359307359
qwen060_or_gemma060,enterprises_count,100,96,0.7291666666666666,0.7,0.7142857142857143
qwen060_or_gemma060,crime_count,73,64,0.828125,0.726027397260274,0.7737226277372263
qwen060_or_gemma060,consumer_price_index,64,49,0.7346938775510204,0.5625,0.6371681415929203
qwen060_or_gemma060,life_expectancy,51,44,0.6818181818181818,0.5882352941176471,0.631578947368421
qwen060_or_gemma060,real_income_index,47,30,0.6666666666666666,0.425531914893617,0.5194805194805194
qwen060_or_gemma060,per_capita_income,40,62,0.41935483870967744,0.65,0.5098039215686274
qwen060_or_gemma060,mortality_rate,26,17,0.7058823529411765,0.46153846153846156,0.5581395348837209
qwen060_or_gemma060,hospitals,20,24,0.625,0.75,0.6818181818181818
qwen060_or_gemma060,air_pollution,17,8,0.75,0.35294117647058826,0.48
qwen060_or_gemma060,housing_area_per_capita,16,14,0.7857142857142857,0.6875,0.7333333333333333
qwen060_or_gemma060,wastewater_discharge,16,9,0.8888888888888888,0.5,0.64
qwen060_or_gemma060,international_inflow,10,38,0.18421052631578946,0.7,0.2916666666666667
qwen060_or_gemma060,internal_departures,6,3,0.0,0.0,0.0
qwen060_or_gemma060,unemployment_rate,6,2,0.5,0.16666666666666666,0.25
qwen060_or_gemma060,population_size,5,2,0.5,0.2,0.2857142857142857
qwen060_or_gemma060,qualified_doctors,5,12,0.4166666666666667,1.0,0.5882352941176471
qwen060_or_gemma060,living_wage,4,5,0.2,0.25,0.2222222222222222
qwen060_or_gemma060,internal_arrivals,3,4,0.0,0.0,0.0
qwen060_or_gemma060,preschool_coverage,3,0,0.0,0.0,0.0
qwen060_or_gemma060,birth_rate_per_1000,3,0,0.0,0.0,0.0
qwen060_or_gemma060,international_outflow,2,23,0.043478260869565216,0.5,0.08
qwen060_or_gemma060,male_population,2,1,1.0,0.5,0.6666666666666666
qwen060_or_gemma060,children_benefits,2,5,0.4,1.0,0.5714285714285714
qwen060_or_gemma060,divorce_rate,1,1,1.0,1.0,1.0
qwen060_or_gemma060,marriage_rate,1,0,0.0,0.0,0.0
qwen060_or_gemma060,infant_mortality,1,0,0.0,0.0,0.0
qwen060_or_gemma060,outpatient_clinics,1,3,0.0,0.0,0.0
qwen060_or_gemma060,primary_housing_price_index,1,2,0.5,1.0,0.6666666666666666
qwen060_or_gemma060,female_population,0,0,0.0,0.0,0.0
qwen060_or_gemma060,child_living_wage,0,1,0.0,0.0,0.0
qwen060_or_gemma060,abortions,0,0,0.0,0.0,0.0
qwen060_or_gemma060,maternity_capital,0,0,0.0,0.0,0.0
qwen060_or_gemma060,childcare_allowance,0,0,0.0,0.0,0.0
qwen060_or_gemma060,large_families_housing,0,1,0.0,0.0,0.0
qwen060_or_gemma060,secondary_housing_price_index,0,0,0.0,0.0,0.0
qwen_040,industrial_production_index,130,84,0.9047619047619048,0.5846153846153846,0.7102803738317757
qwen_040,enterprises_count,100,87,0.7586206896551724,0.66,0.7058823529411765
qwen_040,crime_count,73,63,0.8253968253968254,0.7123287671232876,0.7647058823529411
qwen_040,consumer_price_index,64,50,0.72,0.5625,0.631578947368421
qwen_040,life_expectancy,51,25,0.8,0.39215686274509803,0.5263157894736842
qwen_040,real_income_index,47,18,0.6666666666666666,0.2553191489361702,0.36923076923076925
qwen_040,per_capita_income,40,9,0.7777777777777778,0.175,0.2857142857142857
qwen_040,mortality_rate,26,16,0.75,0.46153846153846156,0.5714285714285714
qwen_040,hospitals,20,21,0.7142857142857143,0.75,0.7317073170731707
qwen_040,air_pollution,17,5,1.0,0.29411764705882354,0.45454545454545453
qwen_040,housing_area_per_capita,16,10,0.7,0.4375,0.5384615384615384
qwen_040,wastewater_discharge,16,4,1.0,0.25,0.4
qwen_040,international_inflow,10,20,0.25,0.5,0.3333333333333333
qwen_040,internal_departures,6,1,0.0,0.0,0.0
qwen_040,unemployment_rate,6,2,0.5,0.16666666666666666,0.25
qwen_040,population_size,5,2,0.5,0.2,0.2857142857142857
qwen_040,qualified_doctors,5,3,0.3333333333333333,0.2,0.25
qwen_040,living_wage,4,5,0.2,0.25,0.2222222222222222
qwen_040,internal_arrivals,3,2,0.0,0.0,0.0
qwen_040,preschool_coverage,3,0,0.0,0.0,0.0
qwen_040,birth_rate_per_1000,3,0,0.0,0.0,0.0
qwen_040,international_outflow,2,17,0.058823529411764705,0.5,0.10526315789473684
qwen_040,male_population,2,0,0.0,0.0,0.0
qwen_040,children_benefits,2,2,1.0,1.0,1.0
qwen_040,divorce_rate,1,1,1.0,1.0,1.0
qwen_040,marriage_rate,1,0,0.0,0.0,0.0
qwen_040,infant_mortality,1,0,0.0,0.0,0.0
qwen_040,outpatient_clinics,1,1,0.0,0.0,0.0
qwen_040,primary_housing_price_index,1,0,0.0,0.0,0.0
qwen_040,female_population,0,0,0.0,0.0,0.0
qwen_040,child_living_wage,0,0,0.0,0.0,0.0
qwen_040,abortions,0,0,0.0,0.0,0.0
qwen_040,maternity_capital,0,0,0.0,0.0,0.0
qwen_040,childcare_allowance,0,0,0.0,0.0,0.0
qwen_040,large_families_housing,0,0,0.0,0.0,0.0
qwen_040,secondary_housing_price_index,0,0,0.0,0.0,0.0
qwen_default,industrial_production_index,130,108,0.8703703703703703,0.7230769230769231,0.7899159663865546
qwen_default,enterprises_count,100,135,0.6074074074074074,0.82,0.6978723404255319
qwen_default,crime_count,73,76,0.75,0.7808219178082192,0.7651006711409396
