config,strength,gold_pairs,tp_pairs,fn_pairs,pred_pairs_total,labels_per_news,precision_vs_strength,recall_by_strength,f1_vs_strength,gold_news,covered_gold_news,news_coverage_by_strength,json_errors
gemma4:e2b default,direct,243,99,144,260,1.0970464135021096,0.38076923076923075,0.4074074074074074,0.393638170974155,147,96,0.6530612244897959,4.0
gemma4:e2b default,context,259,50,209,260,1.0970464135021096,0.19230769230769232,0.19305019305019305,0.19267822736030826,145,48,0.3310344827586207,4.0
gemma4:e2b default,weak,154,23,131,260,1.0970464135021096,0.08846153846153847,0.14935064935064934,0.1111111111111111,110,22,0.2,4.0
gemma4:e4b @0.60,direct,243,158,85,480,2.0253164556962027,0.32916666666666666,0.6502057613168725,0.43706777316735823,147,117,0.7959183673469388,0.0
gemma4:e4b @0.60,context,259,105,154,480,2.0253164556962027,0.21875,0.40540540540540543,0.28416779431664413,145,82,0.5655172413793104,0.0
gemma4:e4b @0.60,weak,154,61,93,480,2.0253164556962027,0.12708333333333333,0.3961038961038961,0.1924290220820189,110,53,0.4818181818181818,0.0
qwen3.5:9b @0.40,direct,243,180,63,448,1.890295358649789,0.4017857142857143,0.7407407407407407,0.5209840810419682,147,127,0.8639455782312925,0.0
qwen3.5:9b @0.40,context,259,103,156,448,1.890295358649789,0.22991071428571427,0.39768339768339767,0.29137199434229133,145,78,0.5379310344827586,0.0
qwen3.5:9b @0.40,weak,154,42,112,448,1.890295358649789,0.09375,0.2727272727272727,0.13953488372093023,110,33,0.3,0.0
qwen3.5:9b default,direct,243,203,40,799,3.371308016877637,0.25406758448060074,0.8353909465020576,0.3896353166986564,147,136,0.9251700680272109,0.0
qwen3.5:9b default,context,259,147,112,799,3.371308016877637,0.18397997496871088,0.5675675675675675,0.277882797731569,145,97,0.6689655172413793,0.0
qwen3.5:9b default,weak,154,76,78,799,3.371308016877637,0.0951188986232791,0.4935064935064935,0.15949632738719832,110,61,0.5545454545454546,0.0
qwen>=0.60 OR gemma>=0.60,direct,243,191,52,621,2.6202531645569622,0.3075684380032206,0.7860082304526749,0.4421296296296296,147,130,0.8843537414965986,
qwen>=0.60 OR gemma>=0.60,context,259,134,125,621,2.6202531645569622,0.21578099838969403,0.5173745173745173,0.30454545454545456,145,93,0.6413793103448275,
qwen>=0.60 OR gemma>=0.60,weak,154,68,86,621,2.6202531645569622,0.10950080515297907,0.44155844155844154,0.17548387096774193,110,56,0.509090909090909,
