scope,config,gold_pairs,pred_pairs,precision,recall,micro_f1
context,qwen35_0.60_OR_gemma4_0.60,259,621,0.21578099838969403,0.5173745173745173,0.30454545454545456
context,social_v5_qwen35_9b@0.40,259,448,0.22991071428571427,0.39768339768339767,0.2913719943422914
context,social_v5_gemma4_e4b@0.60,259,480,0.21875,0.40540540540540543,0.28416779431664413
context,social_v5_qwen35_9b@default,259,799,0.18397997496871088,0.5675675675675675,0.277882797731569
context,social_v5_gemma4_e4b@default,259,693,0.1774891774891775,0.4749034749034749,0.25840336134453784
context,best_old_union,259,468,0.16880341880341881,0.305019305019305,0.2173314993122421
context,social_v5_e2b@default,259,260,0.19230769230769232,0.19305019305019305,0.1926782273603083
direct,social_v5_qwen35_9b@0.40,243,448,0.4017857142857143,0.7407407407407407,0.5209840810419681
direct,qwen35_0.60_OR_gemma4_0.60,243,621,0.3075684380032206,0.7860082304526749,0.44212962962962965
direct,social_v5_gemma4_e4b@0.60,243,480,0.32916666666666666,0.6502057613168725,0.43706777316735823
direct,best_old_union,243,468,0.32051282051282054,0.6172839506172839,0.4219409282700422
direct,social_v5_e2b@default,243,260,0.38076923076923075,0.4074074074074074,0.39363817097415504
direct,social_v5_qwen35_9b@default,243,799,0.25406758448060074,0.8353909465020576,0.3896353166986564
direct,social_v5_gemma4_e4b@default,243,693,0.240981240981241,0.6872427983539094,0.35683760683760685
direct_context,social_v5_qwen35_9b@0.40,502,448,0.6316964285714286,0.5637450199203188,0.5957894736842105
direct_context,qwen35_0.60_OR_gemma4_0.60,502,621,0.5233494363929146,0.647410358565737,0.578806767586821
direct_context,social_v5_qwen35_9b@default,502,799,0.4380475594493116,0.6972111553784861,0.5380476556495004
direct_context,social_v5_gemma4_e4b@0.60,502,480,0.5479166666666667,0.5239043824701195,0.5356415478615071
direct_context,social_v5_gemma4_e4b@default,502,693,0.4184704184704185,0.5776892430278885,0.48535564853556484
direct_context,best_old_union,502,468,0.4893162393162393,0.45617529880478086,0.47216494845360824
direct_context,social_v5_e2b@default,502,260,0.573076923076923,0.2968127490039841,0.3910761154855643
weak,social_v5_gemma4_e4b@0.60,154,480,0.12708333333333333,0.3961038961038961,0.19242902208201892
weak,qwen35_0.60_OR_gemma4_0.60,154,621,0.10950080515297907,0.44155844155844154,0.17548387096774193
weak,social_v5_gemma4_e4b@default,154,693,0.10245310245310245,0.461038961038961,0.16765053128689492
weak,social_v5_qwen35_9b@default,154,799,0.0951188986232791,0.4935064935064935,0.15949632738719832
weak,social_v5_qwen35_9b@0.40,154,448,0.09375,0.2727272727272727,0.13953488372093023
weak,best_old_union,154,468,0.0811965811965812,0.24675324675324675,0.12218649517684887
weak,social_v5_e2b@default,154,260,0.08846153846153847,0.14935064935064934,0.1111111111111111
