config,factor_key,support,predicted,precision,recall,f1
social_signal_v3@0.05,population_size,5,1,0.0,0.0,0.0
social_signal_v3@0.05,divorce_rate,1,1,1.0,1.0,1.0
social_signal_v3@0.05,marriage_rate,1,0,0.0,0.0,0.0
social_signal_v3@0.05,international_inflow,10,29,0.3103448275862069,0.9,0.46153846153846156
social_signal_v3@0.05,international_outflow,2,15,0.0,0.0,0.0
social_signal_v3@0.05,internal_arrivals,3,0,0.0,0.0,0.0
social_signal_v3@0.05,internal_departures,6,0,0.0,0.0,0.0
social_signal_v3@0.05,infant_mortality,1,0,0.0,0.0,0.0
social_signal_v3@0.05,life_expectancy,51,2,0.5,0.0196078431372549,0.03773584905660377
social_signal_v3@0.05,male_population,2,1,0.0,0.0,0.0
social_signal_v3@0.05,female_population,0,0,0.0,0.0,0.0
social_signal_v3@0.05,per_capita_income,40,1,1.0,0.025,0.04878048780487805
social_signal_v3@0.05,real_income_index,47,2,1.0,0.0425531914893617,0.08163265306122448
social_signal_v3@0.05,unemployment_rate,6,0,0.0,0.0,0.0
social_signal_v3@0.05,living_wage,4,0,0.0,0.0,0.0
social_signal_v3@0.05,child_living_wage,0,1,0.0,0.0,0.0
social_signal_v3@0.05,hospitals,20,3,0.6666666666666666,0.1,0.17391304347826086
social_signal_v3@0.05,outpatient_clinics,1,0,0.0,0.0,0.0
social_signal_v3@0.05,abortions,0,0,0.0,0.0,0.0
social_signal_v3@0.05,qualified_doctors,5,2,0.5,0.2,0.2857142857142857
social_signal_v3@0.05,preschool_coverage,3,0,0.0,0.0,0.0
social_signal_v3@0.05,children_benefits,2,0,0.0,0.0,0.0
social_signal_v3@0.05,maternity_capital,0,0,0.0,0.0,0.0
social_signal_v3@0.05,childcare_allowance,0,0,0.0,0.0,0.0
social_signal_v3@0.05,large_families_housing,0,0,0.0,0.0,0.0
social_signal_v3@0.05,housing_area_per_capita,16,9,0.6666666666666666,0.375,0.48
social_signal_v3@0.05,consumer_price_index,64,26,0.6923076923076923,0.28125,0.4
social_signal_v3@0.05,primary_housing_price_index,1,0,0.0,0.0,0.0
social_signal_v3@0.05,secondary_housing_price_index,0,0,0.0,0.0,0.0
social_signal_v3@0.05,industrial_production_index,130,104,0.8461538461538461,0.676923076923077,0.7521367521367521
