scope,config,n_news,gold_pairs,pred_pairs,precision,recall,micro_f1,macro_f1_supported,sample_f1,any_f1,false_relevant,missed_all
all,best_old_union+social_signal_v3,237,656,532,0.575187969924812,0.46646341463414637,0.5151515151515151,0.35623351360069544,0.48747633051430517,0.978448275862069,10,0
all,precision_pair_latent45_social05,237,656,433,0.6235565819861432,0.4115853658536585,0.49586776859504134,0.3146794758536944,0.46946955997588913,0.978448275862069,10,0
all,all_sources_with_social_max035,237,656,476,0.5840336134453782,0.42378048780487804,0.4911660777385159,0.38024939146422276,0.4417614968247879,0.9626373626373627,9,8
all,best_old_union,237,656,468,0.5705128205128205,0.4070121951219512,0.4750889679715303,0.30664300421896706,0.44388337869350525,0.9739130434782609,9,3
all,latent_v3@0.30,237,656,429,0.5384615384615384,0.3521341463414634,0.4258064516129032,0.26952160666479924,0.37868589450867923,0.978448275862069,10,0
all,latent_v3@0.45,237,656,327,0.6146788990825688,0.30640243902439024,0.40895218718209564,0.2554739974240338,0.36576920500971133,0.9417040358744395,9,17
all,social_signal_v3@0.05,237,656,265,0.6981132075471698,0.2820121951219512,0.4017372421281216,0.18703064557165094,0.40182841068917013,0.9605263157894737,10,8
all,social_signal_v3@0.30,237,656,263,0.6996197718631179,0.2804878048780488,0.40043525571273125,0.18695696446348709,0.40082378943138436,0.9605263157894737,10,8
context,precision_pair_latent45_social05,237,259,433,0.19861431870669746,0.33204633204633205,0.24855491329479767,0.1910964310182311,0.18134418324291743,0.7591623036649214,92,0
context,best_old_union+social_signal_v3,237,259,532,0.18233082706766918,0.3745173745173745,0.24525916561314792,0.24214366279896296,0.1820446782472099,0.7591623036649214,92,0
context,all_sources_with_social_max035,237,259,476,0.17436974789915966,0.3204633204633205,0.22585034013605443,0.22670875326243253,0.18276465681528975,0.7667560321715817,85,2
context,social_signal_v3@0.05,237,259,265,0.22264150943396227,0.2277992277992278,0.22519083969465647,0.14961638101988978,0.1765923246935905,0.7379679144385026,91,7
context,social_signal_v3@0.30,237,259,263,0.22053231939163498,0.22393822393822393,0.2222222222222222,0.14923463962937647,0.17448262005224033,0.7379679144385026,91,7
context,best_old_union,237,259,468,0.16880341880341881,0.305019305019305,0.2173314993122421,0.22026728206424653,0.16570953659561255,0.7619047619047619,89,1
context,latent_v3@0.30,237,259,429,0.16083916083916083,0.26640926640926643,0.2005813953488372,0.16379801247236764,0.13655816757082578,0.7591623036649214,92,0
context,latent_v3@0.45,237,259,327,0.17737003058103976,0.22393822393822393,0.19795221843003413,0.16052768636039388,0.17215189873417722,0.7527472527472527,82,8
direct,all_sources_with_social_max035,237,243,476,0.3277310924369748,0.6419753086419753,0.4339360222531293,0.28605382775774796,0.35360659031545105,0.7733333333333333,83,2
direct,best_old_union,237,243,468,0.32051282051282054,0.6172839506172839,0.4219409282700422,0.28188498450262667,0.34293751255776567,0.7736842105263158,86,0
direct,precision_pair_latent45_social05,237,243,433,0.325635103926097,0.5802469135802469,0.4171597633136095,0.29079027842002925,0.3191078963230862,0.765625,90,0
direct,best_old_union+social_signal_v3,237,243,532,0.3026315789473684,0.6625514403292181,0.4154838709677419,0.2817623463052555,0.33472975688165557,0.765625,90,0
direct,latent_v3@0.45,237,243,327,0.3516819571865443,0.4732510288065844,0.40350877192982454,0.2942133528691578,0.3167570825798674,0.7650273224043715,79,7
direct,social_signal_v3@0.30,237,243,263,0.3688212927756654,0.3991769547325103,0.383399209486166,0.2399281481572573,0.2907172995780591,0.75,88,6
direct,social_signal_v3@0.05,237,243,265,0.3660377358490566,0.3991769547325103,0.38188976377952755,0.23948385560770158,0.290436005625879,0.75,88,6
direct,latent_v3@0.30,237,243,429,0.2913752913752914,0.51440329218107,0.37202380952380953,0.28493500606171823,0.2672091621458709,0.765625,90,0
direct_context,best_old_union+social_signal_v3,237,502,532,0.4849624060150376,0.5139442231075697,0.4990328820116054,0.3645884977353441,0.4437631285732551,0.9103448275862069,39,0
direct_context,all_sources_with_social_max035,237,502,476,0.5021008403361344,0.4760956175298805,0.4887525562372188,0.3559782091999727,0.42848497025712207,0.9107981220657277,34,4
direct_context,precision_pair_latent45_social05,237,502,433,0.5242494226327945,0.45219123505976094,0.4855614973262032,0.3128191552422712,0.4253800817091956,0.9103448275862069,39,0
direct_context,best_old_union,237,502,468,0.4893162393162393,0.45617529880478086,0.47216494845360824,0.3440786517550771,0.4210809115872407,0.91415313225058,36,1
direct_context,latent_v3@0.45,237,502,327,0.5290519877675841,0.34462151394422313,0.41737032569360677,0.2796268766201021,0.3651463398298841,0.8968824940047961,32,11
direct_context,latent_v3@0.30,237,502,429,0.4522144522144522,0.38645418326693226,0.4167561761546724,0.2858831382656203,0.3427097984060009,0.9103448275862069,39,0
direct_context,social_signal_v3@0.05,237,502,265,0.5886792452830188,0.3107569721115538,0.4067796610169492,0.22347208458508822,0.370182841068917,0.8899297423887588,39,8
direct_context,social_signal_v3@0.30,237,502,263,0.5893536121673004,0.30876494023904383,0.40522875816993464,0.2233238366066516,0.3691782198111312,0.8899297423887588,39,8
weak,precision_pair_latent45_social05,237,154,433,0.09930715935334873,0.2792207792207792,0.1465076660988075,0.187825225553226,0.10140646976090013,0.6340057636887608,127,0
weak,best_old_union+social_signal_v3,237,154,532,0.09022556390977443,0.3116883116883117,0.13994169096209913,0.18125918598664761,0.09897528631705846,0.6340057636887608,127,0
weak,social_signal_v3@0.30,237,154,263,0.11026615969581749,0.18831168831168832,0.13908872901678657,0.0809620785427237,0.09859353023909986,0.6194690265486725,124,5
weak,social_signal_v3@0.05,237,154,265,0.10943396226415095,0.18831168831168832,0.13842482100238662,0.0808020683020683,0.09859353023909986,0.6194690265486725,124,5
weak,latent_v3@0.30,237,154,429,0.08624708624708624,0.24025974025974026,0.1269296740994854,0.15414955414955414,0.07962628089210368,0.6340057636887608,127,0
weak,all_sources_with_social_max035,237,154,476,0.0819327731092437,0.2532467532467532,0.12380952380952381,0.225921613751266,0.10294354028531243,0.6272189349112426,122,4
weak,best_old_union,237,154,468,0.0811965811965812,0.24675324675324675,0.12218649517684887,0.14083429657540894,0.08939119951778178,0.6297376093294461,125,2
weak,latent_v3@0.45,237,154,327,0.0856269113149847,0.18181818181818182,0.11642411642411643,0.15401471682988108,0.10815752461322081,0.6139817629179332,118,9
