variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,0.50,18,38,17,0.9444444444444444,0.5294117647058824,0.23684210526315788,0.32727272727272727,0.3141414141414141,0.3055555555555556,0.9230769230769231,0.75,0.8275862068965517,1,4,0,0
v4_prompt,0.40,18,38,18,1.0,0.5,0.23684210526315788,0.32142857142857145,0.3141414141414141,0.30000000000000004,0.9230769230769231,0.75,0.8275862068965517,1,4,0,0
v4_prompt,0.45,18,38,18,1.0,0.5,0.23684210526315788,0.32142857142857145,0.3141414141414141,0.30000000000000004,0.9230769230769231,0.75,0.8275862068965517,1,4,0,0
v4_prompt,default,18,38,23,1.2777777777777777,0.391304347826087,0.23684210526315788,0.29508196721311475,0.3111111111111111,0.24444444444444446,0.8823529411764706,0.9375,0.9090909090909091,2,1,0,0
v4_prompt,0.05,18,38,23,1.2777777777777777,0.391304347826087,0.23684210526315788,0.29508196721311475,0.3111111111111111,0.24444444444444446,0.8823529411764706,0.9375,0.9090909090909091,2,1,0,0
v4_prompt,0.10,18,38,23,1.2777777777777777,0.391304347826087,0.23684210526315788,0.29508196721311475,0.3111111111111111,0.24444444444444446,0.8823529411764706,0.9375,0.9090909090909091,2,1,0,0
v4_prompt,0.20,18,38,23,1.2777777777777777,0.391304347826087,0.23684210526315788,0.29508196721311475,0.3111111111111111,0.24444444444444446,0.8823529411764706,0.9375,0.9090909090909091,2,1,0,0
v4_prompt,0.30,18,38,23,1.2777777777777777,0.391304347826087,0.23684210526315788,0.29508196721311475,0.3111111111111111,0.24444444444444446,0.8823529411764706,0.9375,0.9090909090909091,2,1,0,0
v4_prompt,0.60,18,38,11,0.6111111111111112,0.5454545454545454,0.15789473684210525,0.24489795918367346,0.27037037037037037,0.2944444444444445,1.0,0.5625,0.72,0,7,0,0
v4_prompt,0.70,18,38,8,0.4444444444444444,0.625,0.13157894736842105,0.21739130434782608,0.2037037037037037,0.2666666666666667,1.0,0.4375,0.6086956521739131,0,9,0,0
