variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,default,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.05,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.10,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.20,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.30,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.40,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.45,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.50,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.60,237,681,274,1.1561181434599157,0.7299270072992701,0.2936857562408223,0.418848167539267,0.22291429719030895,0.4014265621860559,1.0,0.8945147679324894,0.9443207126948775,0,25,0,72
v4_prompt,0.70,237,681,268,1.130801687763713,0.7388059701492538,0.2907488986784141,0.4172813487881981,0.22259491211973775,0.3985767865514701,1.0,0.890295358649789,0.9419642857142857,0,26,0,72
