dataset_row_id,factor_key,factor_name,relevance,sentiment_score,pressure,confidence,sentiment_label,is_relevant,evidence,reason,raw_factor_returned,exclude,exclude_reason,no_factor_reason,call_status,raw_text_chars
1,abortions,Число абортов,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,air_pollution,Выбросы загрязняющих веществ в атмосферный воздух,0.8,-0.5,0.75,0.9,negative,True,пресечь утечки из них нефтепродуктов.,"Разлив нефтепродуктов и утечки загрязняют окружающую среду, влияя на качество воздуха и",True,False,,,batch,1406
1,birth_rate_per_1000,Коэффициент рождаемости на 1000 человек,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,child_living_wage,Величина прожиточного минимума на ребенка,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,childcare_allowance,Ежемесячное пособие по уходу за первым ребенком,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,children_benefits,"Численность детей до 18 лет, на которых назначено пособие",0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,consumer_price_index,Индексы потребительских цен,0.75,-0.5,0.7,0.85,negative,True,разлив топлива,"Крупный разлив мазута и нефтепродуктов может вызвать шок на рынке топлива, влияя",True,False,,,batch,1406
1,crime_count,Количество преступлений,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,divorce_rate,Число зарегистрированных разводов на 1000 населения,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,enterprises_count,Число предприятий и организаций,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,female_population,Число женщин,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,hospitals,Число больничных организаций,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,housing_area_per_capita,Общая площадь жилья на одного жителя,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,industrial_production_index,Индексы промышленного производства,0.9,-0.5,0.8,0.95,negative,True,"потеряли крушение танкеры с мазутом ""Волгонефть 212"" и ""Волгонефть 239"", в результате",Крушение танкеров и разлив нефтепродуктов напрямую влияют на промышленную инфраструктуру и логистику,True,False,,,batch,1406
1,infant_mortality,Коэффициент младенческой смертности,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
1,internal_arrivals,Число прибытий внутри региона,0.0,0.0,0.0,0.0,neutral,False,,,False,False,,,batch,1406
